“ú•t,628,630,631,632,633,635,636,637,638,650,651,652,653,655,656,657,658,660,661,662,663,665,666,668,670,671,672,673,675,676,677
2023-09-03,3,5,1,1,4,3,1,1,1,2,1,1,1,1,1,2,1,0,1,1,1,1,1,6,0,1,2,1,1,0,1
2023-09-02,1,1,1,1,1,0,0,0,3,0,0,0,2,0,0,1,1,1,0,0,1,0,1,3,1,0,1,1,0,1,1
2023-09-01,3,0,1,1,0,0,2,0,0,3,0,2,0,1,1,1,1,0,0,0,2,0,0,1,0,3,0,4,0,1,1
2023-08-23,3,3,0,0,0,1,0,1,0,1,0,0,1,1,0,4,5,1,1,0,1,1,1,1,4,1,0,4,0,2,3
2023-08-22,0,4,0,0,0,1,0,0,3,0,1,0,0,0,4,0,0,6,0,4,0,3,0,1,0,0,0,0,0,0,4
2023-08-21,4,0,0,5,0,0,0,0,1,0,2,0,2,0,0,1,0,3,0,0,0,0,0,0,1,0,5,0,0,0,1
2023-08-13,2,0,5,4,0,1,1,0,1,1,1,1,1,1,2,1,1,0,0,3,0,3,1,2,4,1,4,3,0,1,1
2023-08-12,3,0,0,0,1,0,0,3,2,0,0,1,1,1,0,1,0,2,1,0,0,1,1,0,4,0,3,0,0,0,1
2023-08-11,3,0,3,0,0,1,1,1,0,1,0,1,2,0,1,1,1,1,5,0,0,1,1,1,0,3,0,0,0,0,1
2023-08-03,3,5,4,0,2,2,0,1,5,1,1,3,1,0,3,3,3,0,0,2,1,4,0,1,0,1,0,3,1,0,2
2023-08-02,1,0,0,1,0,1,0,3,0,2,6,0,0,0,0,1,1,1,0,0,0,0,3,1,0,0,5,1,0,1,0
2023-08-01,4,0,4,0,3,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,5,2,0,5,0,1,1,3,2
2023-07-23,1,3,6,5,4,1,0,1,4,4,0,1,0,3,1,1,3,2,5,4,0,1,1,1,1,1,1,1,1,1,1
2023-07-22,3,2,1,2,0,3,1,0,0,1,1,3,3,1,1,1,1,1,1,6,0,1,0,3,0,1,3,1,0,3,4
2023-07-13,1,4,3,0,5,4,1,4,0,3,4,0,0,3,0,2,1,0,1,5,0,4,1,0,2,0,5,3,2,3,5
2023-07-12,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,2,4,0,1,0,0,0,1,0,0
2023-07-11,4,0,4,0,1,0,0,5,1,0,0,0,0,2,0,1,5,0,1,0,4,1,0,1,0,2,0,4,0,0,1
2023-06-23,1,1,3,1,2,0,4,0,1,0,1,0,1,2,5,2,0,1,2,3,3,1,1,1,1,5,1,1,1,0,1
2023-06-22,1,1,0,0,1,0,1,0,3,0,1,0,0,1,0,1,1,0,0,0,4,0,1,0,1,4,0,0,0,1,0
2023-06-21,1,0,3,0,0,1,1,0,2,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,4,1,0,0,1
2023-06-13,1,1,1,1,2,0,4,0,0,2,0,4,0,0,1,1,2,1,0,4,1,1,0,1,1,3,0,4,0,1,1
2023-06-12,1,1,0,1,0,3,0,0,0,0,1,0,0,5,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2023-06-11,1,2,1,0,5,0,1,0,0,1,0,0,1,1,3,1,0,1,0,2,0,0,1,0,2,1,1,0,1,0,3
2023-06-03,2,1,1,1,6,1,1,5,2,4,2,1,1,2,1,1,2,3,1,1,3,1,6,3,1,6,2,1,2,1,4
2023-06-02,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1,2
2023-06-01,1,0,0,4,0,0,0,1,0,1,0,0,1,5,0,1,1,0,1,0,0,0,2,0,1,3,0,0,0,0,5
2023-05-23,1,0,5,3,0,0,1,1,1,1,0,0,0,2,2,1,1,0,0,3,0,0,1,0,0,0,0,1,0,1,1
2023-05-22,4,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
2023-05-21,1,1,0,1,4,3,0,3,3,0,3,0,1,1,1,1,1,4,1,1,3,1,2,3,4,1,0,2,0,0,2
2023-05-13,1,4,3,3,2,0,3,3,3,0,1,1,0,1,1,1,1,1,4,1,2,1,1,6,6,4,1,4,1,3,1
2023-05-12,0,1,0,0,3,0,1,0,0,1,0,0,3,0,0,1,1,0,0,1,1,0,4,1,1,0,6,1,0,0,1
2023-05-11,5,0,0,0,0,1,0,0,2,5,0,1,0,1,0,2,3,0,1,0,1,0,1,0,0,3,0,0,1,3,1
2023-05-03,1,1,2,1,1,3,5,1,3,1,1,4,1,1,1,1,2,1,1,1,3,1,1,1,1,5,3,1,5,1,3
