,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2425,2023-08-12,マイジャグラーV,635,991,-425,3,2,198.2,330.3,495.5,6.750076370456009,0,2,2011.0,5855.0,177.4,585.5
2426,2023-08-12,マイジャグラーV,636,1457,-364,5,1,242.8,291.4,1457.0,5.737682536732625,0,2,-1228.0,4312.0,359.3,308.0
2427,2023-08-12,マイジャグラーV,637,8009,2144,38,24,129.2,210.8,333.7,5.807034416105648,3,2,-203.0,5653.0,314.1,245.8
2428,2023-08-12,マイジャグラーV,638,5780,-681,18,17,165.1,321.1,340.0,5.765792079302983,2,2,-819.0,1284.0,642.0,642.0
2429,2023-08-12,マイジャグラーV,650,1956,-47,6,7,150.5,326.0,279.4,5.58764012860885,0,2,794.0,5772.0,213.8,481.0
2430,2023-08-12,マイジャグラーV,651,1926,-742,5,3,240.8,385.2,642.0,5.814776762198703,0,2,-828.0,3467.0,288.9,693.4
2431,2023-08-12,マイジャグラーV,652,6355,-269,21,16,171.8,302.6,397.2,5.4877513449348925,1,2,-369.0,5132.0,270.1,466.5
2432,2023-08-12,マイジャグラーV,653,5059,47,20,15,144.5,252.9,337.3,6.099588897625106,1,2,1228.0,6877.0,229.2,361.9
2433,2023-08-12,マイジャグラーV,655,5467,-875,18,13,176.4,303.7,420.5,5.8985866765948565,1,2,-497.0,3817.0,293.6,545.3
2434,2023-08-12,マイジャグラーV,656,2523,-708,8,4,210.2,315.4,630.8,5.968900696610989,0,2,-297.0,4205.0,262.8,525.6
2435,2023-08-12,マイジャグラーV,657,4396,-464,13,18,141.8,338.2,244.2,6.026602996711889,1,2,1672.0,6697.0,209.3,418.6
2436,2023-08-12,マイジャグラーV,658,3308,-297,11,10,157.5,300.7,330.8,5.894323703018705,0,2,-431.0,4501.0,300.1,281.3
2437,2023-08-12,マイジャグラーV,660,4738,-847,14,14,169.2,338.4,338.4,5.867809139922067,2,2,861.0,5104.0,212.7,464.0
2438,2023-08-12,マイジャグラーV,661,7420,994,31,18,151.4,239.4,412.2,5.579323553262886,1,2,2367.0,6972.0,211.3,268.2
2439,2023-08-12,マイジャグラーV,662,1703,-575,4,3,243.3,425.8,567.7,5.467659482434741,0,2,-1261.0,2156.0,718.7,359.3
2440,2023-08-12,マイジャグラーV,663,3152,125,14,4,175.1,225.1,788.0,5.769287228723612,0,2,208.0,2402.0,200.2,600.5
2441,2023-08-12,マイジャグラーV,665,6548,-297,24,18,155.9,272.8,363.8,5.941647154076914,1,2,-181.0,6449.0,280.4,307.1
2442,2023-08-12,マイジャグラーV,666,5042,550,22,11,152.8,229.2,458.4,5.764194271947408,1,2,-72.0,5706.0,259.4,300.3
2443,2023-08-12,マイジャグラーV,668,3509,-464,10,12,159.5,350.9,292.4,5.752306049845063,0,2,1250.0,5648.0,217.2,403.4
2444,2023-08-12,マイジャグラーV,670,6505,561,24,23,138.4,271.0,282.8,5.725383383261835,4,2,-803.0,1318.0,439.3,0.0
2445,2023-08-12,マイジャグラーV,671,1426,-819,2,4,237.7,713.0,356.5,5.910771250054235,0,2,1039.0,5406.0,235.0,300.3
2446,2023-08-12,マイジャグラーV,672,6839,-1706,17,23,171.0,402.3,297.3,5.856377039325392,3,2,-558.0,2768.0,395.4,276.8
2447,2023-08-12,マイジャグラーV,673,3033,-1050,8,7,202.2,379.1,433.3,5.999484480498979,0,2,-36.0,3543.0,236.2,506.1
2448,2023-08-12,マイジャグラーV,675,3660,-847,13,5,203.3,281.5,732.0,6.064321825937478,0,2,1050.0,3918.0,217.7,391.8
2449,2023-08-12,マイジャグラーV,676,2297,-306,8,5,176.7,287.1,459.4,5.896590041063094,0,2,-803.0,3407.0,340.7,378.6
2450,2023-08-12,マイジャグラーV,677,7087,181,26,27,133.7,272.6,262.5,6.081554719300781,1,2,-147.0,4096.0,240.9,585.1
2505,2023-08-11,マイジャグラーV,628,8741,861,35,28,138.7,249.7,312.2,5.856806379012261,3,1,-1761.0,5484.0,365.6,548.4
2506,2023-08-11,マイジャグラーV,630,1465,-519,4,3,209.3,366.2,488.3,6.024231236517923,0,1,739.0,6403.0,246.3,320.1
2507,2023-08-11,マイジャグラーV,631,4266,617,17,13,142.2,250.9,328.2,5.588578279604714,3,1,-1039.0,3788.0,420.9,420.9
2508,2023-08-11,マイジャグラーV,632,3854,847,17,11,137.6,226.7,350.4,5.62149436276538,0,1,-675.0,2396.0,599.0,342.3
2509,2023-08-11,マイジャグラーV,633,2430,-172,10,2,202.5,243.0,1215.0,5.727437776794856,0,1,406.0,5812.0,223.5,447.1
2510,2023-08-11,マイジャグラーV,635,5855,2011,33,10,136.2,177.4,585.5,5.870039665314249,1,1,219.0,4478.0,235.7,447.8
2511,2023-08-11,マイジャグラーV,636,4312,-1228,12,14,165.8,359.3,308.0,6.295872391310311,1,1,-803.0,1058.0,1058.0,352.7
2512,2023-08-11,マイジャグラーV,637,5653,-203,18,23,137.9,314.1,245.8,5.946742239384675,1,1,-317.0,5691.0,284.6,406.5
2513,2023-08-11,マイジャグラーV,638,1284,-819,2,2,321.0,642.0,642.0,5.832385286826964,0,1,228.0,4593.0,255.2,382.8
2514,2023-08-11,マイジャグラーV,650,5772,794,27,12,148.0,213.8,481.0,5.921921466118373,1,1,-214.0,2121.0,303.0,424.2
2515,2023-08-11,マイジャグラーV,651,3467,-828,12,5,203.9,288.9,693.4,6.032059985609134,0,1,-983.0,6068.0,337.1,275.8
2516,2023-08-11,マイジャグラーV,652,5132,-369,19,11,171.1,270.1,466.5,5.844952753744653,1,1,-375.0,3311.0,331.1,367.9
2517,2023-08-11,マイジャグラーV,653,6877,1228,30,19,140.3,229.2,361.9,5.705157267109834,2,1,-719.0,5380.0,336.2,283.2
2518,2023-08-11,マイジャグラーV,655,3817,-497,13,7,190.8,293.6,545.3,5.670531627808908,0,1,-947.0,4294.0,330.3,330.3
2519,2023-08-11,マイジャグラーV,656,4205,-297,16,8,175.2,262.8,525.6,5.8464910447842,1,1,414.0,6278.0,299.0,224.2
2520,2023-08-11,マイジャグラーV,657,6697,1672,32,16,139.5,209.3,418.6,5.676049411044136,1,1,939.0,6673.0,238.3,392.5
2521,2023-08-11,マイジャグラーV,658,4501,-431,15,16,145.2,300.1,281.3,6.159250848307745,1,1,547.0,6615.0,236.2,348.2
2522,2023-08-11,マイジャグラーV,660,5104,861,24,11,145.8,212.7,464.0,5.843933162121204,1,1,372.0,3486.0,232.4,498.0
2523,2023-08-11,マイジャグラーV,661,6972,2367,33,26,118.2,211.3,268.2,5.787029615684335,5,1,-331.0,709.0,354.5,0.0
2524,2023-08-11,マイジャグラーV,662,2156,-1261,3,6,239.6,718.7,359.3,5.936179163138331,0,1,-786.0,8559.0,276.1,372.1
2525,2023-08-11,マイジャグラーV,663,2402,208,12,4,150.1,200.2,600.5,6.332857870256339,0,1,181.0,1871.0,207.9,1871.0
2526,2023-08-11,マイジャグラーV,665,6449,-181,23,21,146.6,280.4,307.1,5.974485475260008,1,1,-586.0,3117.0,311.7,389.6
2527,2023-08-11,マイジャグラーV,666,5706,-72,22,19,139.2,259.4,300.3,6.258333802694658,1,1,-872.0,6623.0,301.0,473.1
