ì˙ït,628,630,631,632,633,635,636,637,638,650,651,652,653,655,656,657,658,660,661,662,663,665,666,668,670,671,672,673,675,676,677,çáåv
2023/9/3 0:00,3278,3983,-414,-761,-1839,567,75,583,86,53,117,3056,-2122,-481,-2211,-497,-231,-453,-214,-150,3522,617,-894,4750,-594,-758,-894,-564,-1294,-1961,-750,3605
2023/9/2 0:00,1372,-147,1539,-1106,1228,-1228,-225,-803,1083,-786,-653,942,108,-2033,-950,-550,-406,317,-931,-325,1006,-97,406,-475,706,403,-714,-481,192,439,-872,-3041
2023/9/1 0:00,-653,-381,-1028,192,231,97,697,-64,-592,1917,-231,-169,-581,-847,1583,283,439,-161,-581,292,2767,-497,-1228,42,-525,1139,-492,425,-458,419,-2767,-732
2023/8/23 0:00,361,150,-14,-353,-1817,-203,-769,-192,-1294,-806,-864,-642,425,14,108,739,-50,-17,-303,-131,381,-1572,-531,528,-431,-19,-586,2122,119,-325,3256,-2716
2023/8/22 0:00,-1306,-317,1117,-442,403,1228,-947,-492,-450,-781,983,-1406,192,-492,639,-525,-1272,3522,-269,2278,514,-103,-1283,-2900,-153,-747,231,850,-761,-181,-481,-3351
2023/8/21 0:00,917,-308,-114,106,-592,-931,-817,492,-592,-231,-664,-525,1683,-147,-181,-275,-703,939,197,-553,-553,-797,-1339,-686,1106,-219,1272,-836,-264,-247,-342,-5204
2023/8/13 0:00,-839,-286,2611,2078,-1406,-308,-181,14,-2144,872,-17,386,-647,-36,1039,-117,-517,-972,-936,1306,-864,-1083,-1106,-1061,375,-575,1139,1500,0,1417,-1900,-2258
2023/8/12 0:00,-194,-431,-519,-542,2233,-425,-364,2144,-681,-47,-742,-269,47,-875,-708,-464,-297,-847,994,-575,125,-297,550,-464,561,-819,-1706,-1050,-847,-306,181,-6634
2023/8/11 0:00,861,-519,617,847,-172,2011,-1228,-203,-819,794,-828,-369,1228,-497,-297,1672,-431,861,2367,-1261,208,-181,-72,1250,-803,1039,-558,-36,1050,-803,-147,5581
2023/8/3 0:00,1517,3883,706,-514,1139,-1661,-2033,-503,-928,606,1744,-403,425,-597,828,-394,1350,-1061,-1106,906,-250,97,-1228,1361,-1717,-847,-403,-242,614,-1417,1922,1794
2023/8/2 0:00,-506,-1094,-972,1478,-392,-342,-325,-161,-147,983,297,-103,525,208,-308,-681,-219,28,-231,-8,-375,-542,1028,186,508,-131,514,-308,269,472,-75,-424
2023/8/1 0:00,1656,547,225,-481,425,-219,1239,-361,-92,-1872,-964,-508,-953,-14,2167,-631,-2322,-747,-492,-842,-561,-931,1583,-2167,1922,1039,-342,-292,-592,850,1361,-2369
2023/7/23 0:00,-1856,-994,3850,1083,1589,242,-1050,-1061,-728,772,-181,-1517,-650,236,583,1150,-1394,-1017,1317,3322,-519,-1228,-486,1906,-1072,-292,-1617,1278,-1583,-1239,-383,-1539
2023/7/22 0:00,517,97,-658,-1350,-1350,-1450,-253,-703,-431,81,-303,483,661,-2322,914,-53,-47,-1083,628,4050,-636,-1594,-1061,1583,-917,-275,-794,36,-906,2122,1161,-3853
2023/7/13 0:00,572,1656,-708,-1683,861,-225,-797,-553,-1461,-1150,61,-1350,47,2211,-1161,564,2544,-1350,186,669,-1161,3389,-664,-750,-575,-403,1878,303,-886,17,-358,-277
2023/7/12 0:00,-297,-914,2811,197,-192,8,258,361,-158,-719,-886,-608,142,-208,72,47,639,-183,169,-547,97,617,1383,-292,-658,-286,-736,-442,994,-597,-1272,-1200
2023/7/11 0:00,-97,-742,231,-147,-703,275,-575,1106,436,-81,-169,-769,-569,2122,-62,-986,2722,1206,-764,-358,-19,-519,-536,1406,397,-1272,-972,2589,869,-664,617,3972
2023/6/23 0:00,-303,-172,961,2056,206,-883,-469,-1250,1572,-1550,803,-1639,775,1650,-383,-839,-1750,-403,-1128,1739,1117,-1139,2189,1567,-242,1906,161,-1483,-453,-1394,483,1705
2023/6/22 0:00,-803,647,-1128,-1194,-2056,-569,-117,-175,-719,-636,-672,203,-975,-331,-231,-1106,2300,-564,-369,-269,-272,-142,53,-328,-647,-872,-525,-981,-1194,-508,-1506,-15686
2023/6/21 0:00,-875,-486,894,-553,253,714,125,125,1006,203,1061,-797,119,-1372,-819,-272,-436,1828,-192,3211,42,-1906,-239,672,772,-692,2233,4517,158,-617,972,9649
2023/6/13 0:00,-928,294,-75,-1928,1744,-1194,2144,-50,-1050,1372,-1228,-181,-917,-169,1483,486,1661,-325,-139,1494,442,2367,-1717,372,347,-708,36,1789,-314,-1183,-308,3617
2023/6/12 0:00,1083,-350,-269,-917,-536,1539,-386,-408,-1361,-158,83,-358,-469,2122,131,1017,-208,-308,194,-314,1283,-114,-519,-919,-147,-2233,253,-275,-539,-1850,-617,-5550
2023/6/11 0:00,-1083,-831,47,-1283,461,-725,1900,-269,-892,1739,-547,-1172,-1050,1456,1394,2700,-1439,750,-969,-153,-297,-1961,219,386,1344,817,650,-1206,-847,-639,217,-1283
2023/6/3 0:00,4450,-72,-983,-203,1639,1072,-439,3011,103,303,253,1006,-119,-1661,-847,750,-197,575,-1606,739,1522,-219,3922,2100,-1539,4050,-1628,839,247,-1117,-464,15487
2023/6/2 0:00,-603,-508,-303,-436,-881,-625,769,-394,-1161,-550,-864,-1283,-247,-28,-1272,181,-408,2922,297,181,-58,-558,-1728,-381,-458,-247,2722,-331,-914,853,-1594,-7907
2023/6/1 0:00,-1150,319,486,3211,-214,-197,-481,-1239,392,158,-364,-108,1211,250,-197,-1050,414,-1039,147,-731,92,-958,-628,-1117,706,-569,-581,392,108,-19,-472,-3228
2023/5/23 0:00,-431,-881,1683,2544,-1172,-464,1494,-1206,-1283,583,-986,-325,-503,678,4350,39,181,-242,-303,1428,-203,-994,-458,-347,-214,-675,-769,-1017,-758,253,-231,-229
2023/5/22 0:00,-425,636,-1350,-292,-442,-186,-392,-419,125,-569,-25,1700,-108,-1983,-353,64,-831,275,-247,-708,-469,75,36,525,-658,-414,-719,-669,-564,-825,214,-8998
2023/5/21 0:00,-1261,153,-775,325,317,606,-69,1172,-919,-753,1028,-981,272,-1228,-1006,-69,450,2122,631,-308,794,36,-31,1700,419,994,-203,-317,36,-658,928,3405
2023/5/13 0:00,-650,439,-283,611,1550,-8,783,-350,-436,-286,-428,1344,-1528,53,811,-639,442,-1828,-583,-1494,-319,-408,-953,4683,3544,-1494,-283,2078,-108,-450,-1261,2549
2023/5/12 0:00,-386,894,-1506,-953,-94,347,-619,-1017,403,-14,403,-1206,1117,-225,-314,-475,-203,583,-208,8,847,-447,1639,-483,-531,-331,3500,-903,-714,-336,2989,1765
2023/5/11 0:00,2367,-431,-492,-231,-917,-936,-436,-342,3078,3567,-542,125,-581,214,-542,581,642,-936,872,-347,-1328,114,-339,-1172,-736,1922,-1061,-742,706,-103,-717,1257
2023/5/3 0:00,1706,1650,-725,-283,1117,2256,-472,561,436,-2011,-872,-419,-431,364,-2167,-247,1967,-83,-2056,-303,2678,-703,-36,-2811,950,983,150,-181,2922,-1944,2589,4585
2023/5/2 0:00,-1606,3589,-819,172,1206,-1217,-747,1150,-861,-53,581,-219,197,917,-186,-1628,-203,-1261,72,253,-1117,269,-169,1228,-825,-1206,-539,983,-575,-1839,-506,-4959
2023/5/1 0:00,2322,-1050,-175,717,-169,69,-750,2611,-1072,-1206,1361,-417,1428,317,-414,-1339,-1106,-350,-736,581,-1306,-1517,-2167,-272,-453,-914,-583,922,-506,-275,1656,-4793
2023/4/23 0:00,-494,53,2456,58,103,994,1717,-1694,406,2500,6378,-236,1072,-317,-1094,250,81,-303,-1450,331,386,-1128,-417,-83,1406,-350,550,-442,-992,-275,2789,12255
2023/4/22 0:00,383,1433,-1017,-417,-836,-658,-1228,1306,-458,-506,-886,-119,-2056,-761,-1106,-694,-1850,1761,-1228,-931,2100,3967,1106,264,3189,-569,-1372,417,-719,794,1461,770
2023/4/21 0:00,375,-131,2167,906,-408,-1922,3033,-914,-625,-528,-208,-869,-1106,-386,-14,-1772,-947,-453,364,-1550,125,-1372,264,839,-1161,-108,-897,-1472,-381,-281,-758,-10190
2023/4/13 0:00,1806,1428,247,325,97,636,-342,14,-708,1083,-803,-742,2256,-1861,-1839,1394,1217,-175,-1094,939,569,-169,2211,683,3189,-481,-114,-272,464,-1017,872,9813
2023/4/12 0:00,2322,92,1256,0,839,739,883,-461,31,-308,2167,-408,-203,-853,-681,206,169,-250,-308,-197,475,-875,-1139,-1228,-647,-39,-717,-375,919,-1017,-1283,-891
2023/4/11 0:00,419,-519,-342,1406,181,-608,586,-981,-53,-25,-1283,125,36,-936,172,-31,-464,-1017,92,-903,661,81,406,661,931,8,-750,253,-942,-753,1839,-1750
2023/3/23 0:00,539,-739,694,-1528,-303,328,1039,-1417,-153,-208,614,4717,-606,-519,-64,917,-875,-850,-1561,1017,-961,-431,2033,1483,592,-442,-2678,-1272,-406,-1294,481,-1853
2023/3/22 0:00,658,108,1161,-658,-669,-764,-772,-447,131,1006,-403,-353,-642,242,-106,2456,150,1656,-425,-725,-31,375,-1983,-1172,-47,-414,442,-175,414,336,-1283,-1934
2023/3/21 0:00,-1083,-803,-908,106,-975,-328,-631,394,-836,119,-1239,-1228,-1039,-819,8,-558,2478,1339,-603,-608,2767,-1339,-469,314,-28,358,97,-592,-86,-264,694,-5762
