日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,year,month,day,weekday,day_end,day_end_2,day_zoro,machine_end,machine_end_2,machine_zoro,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-12,ハッピージャグラーVIII,315,1885,-581,6,2,235.6,314.2,942.5,6.1182290972508335,0,2023,9,12,1,2,1,0,5,1,0,-429.0,681.0,340.5,0.0
2023-09-12,ハッピージャグラーVIII,330,2254,122,10,3,173.4,225.4,751.3,5.954110162000532,0,2023,9,12,1,2,1,0,0,3,0,313.0,2482.0,190.9,1241.0
2023-09-12,ハッピージャグラーVIII,331,3539,942,16,15,114.2,221.2,235.9,6.363560372469671,0,2023,9,12,1,2,1,0,1,3,0,-136.0,443.0,443.0,443.0
2023-09-12,ハッピージャグラーVIII,332,5914,353,21,24,131.4,281.6,246.4,6.151610412084306,1,2023,9,12,1,2,1,0,2,3,0,-370.0,1455.0,291.0,363.8
2023-09-11,アイムジャグラーEX-TP,318,1218,-539,2,5,174.0,609.0,243.6,6.239179723055208,0,2023,9,11,0,1,1,1,8,1,0,-254.0,2305.0,288.1,384.2
2023-09-11,アイムジャグラーEX-TP,319,505,-414,0,2,252.5,0.0,252.5,6.009207772226037,0,2023,9,11,0,1,1,1,9,1,0,-541.0,2503.0,312.9,500.6
2023-09-11,アイムジャグラーEX-TP,320,608,-263,2,0,304.0,304.0,0.0,6.302815886662101,0,2023,9,11,0,1,1,1,0,2,0,-89.0,912.0,304.0,0.0
2023-09-11,アイムジャグラーEX-TP,321,1228,-1078,1,1,614.0,1228.0,1228.0,5.846655184750018,0,2023,9,11,0,1,1,1,1,2,0,-470.0,2293.0,286.6,764.3
2023-09-11,アイムジャグラーEX-TP,322,1204,-331,4,2,200.7,301.0,602.0,6.346874844161556,0,2023,9,11,0,1,1,1,2,2,1,-290.0,1680.0,336.0,560.0
2023-09-11,アイムジャグラーEX-TP,323,3035,1314,15,12,112.4,202.3,252.9,5.957257121792933,0,2023,9,11,0,1,1,1,3,2,0,860.0,2637.0,175.8,879.0
2023-09-11,アイムジャグラーEX-TP,324,490,-278,1,1,245.0,490.0,490.0,6.380449261755977,0,2023,9,11,0,1,1,1,4,2,0,2373.0,6713.0,191.8,479.5
2023-09-11,アイムジャグラーEX-TP,325,1507,-383,5,4,167.4,301.4,376.8,6.7354655514011,0,2023,9,11,0,1,1,1,5,2,0,-46.0,271.0,271.0,0.0
2023-09-11,アイムジャグラーEX-TP,326,5407,1006,26,15,131.9,208.0,360.5,6.441336785025764,2,2023,9,11,0,1,1,1,6,2,0,377.0,1805.0,200.6,451.2
2023-09-11,アイムジャグラーEX-TP,337,2608,519,12,4,163.0,217.3,652.0,5.613342467355014,0,2023,9,11,0,1,1,1,7,3,0,-63.0,1951.0,243.9,390.2
2023-09-11,アイムジャグラーEX-TP,338,4169,-1132,7,20,154.4,595.6,208.4,5.805581855981714,6,2023,9,11,0,1,1,1,8,3,0,-179.0,525.0,262.5,0.0
2023-09-11,アイムジャグラーEX-TP,339,1535,-819,3,3,255.8,511.7,511.7,6.0717799096471685,0,2023,9,11,0,1,1,1,9,3,0,-420.0,955.0,477.5,477.5
2023-09-11,アイムジャグラーEX-TP,340,778,315,5,1,129.7,155.6,778.0,6.688640024099738,0,2023,9,11,0,1,1,1,0,4,0,147.0,1353.0,225.5,676.5
2023-09-11,アイムジャグラーEX-TP,341,1536,-255,5,3,192.0,307.2,512.0,5.889289636644632,0,2023,9,11,0,1,1,1,1,4,0,-774.0,705.0,0.0,705.0
2023-09-11,マイジャグラーV,309,4900,-2687,8,12,245.0,612.5,408.3,5.889779684677421,1,2023,9,11,0,1,1,1,9,0,0,-522.0,2581.0,322.6,516.2
2023-09-11,マイジャグラーV,310,2418,-101,8,9,142.2,302.2,268.7,5.958285459497374,0,2023,9,11,0,1,1,1,0,1,0,84.0,4551.0,227.6,413.7
2023-09-11,マイジャグラーV,311,4411,48,18,9,163.4,245.1,490.1,5.836182842825469,1,2023,9,11,0,1,1,1,1,1,1,-511.0,1052.0,350.7,1052.0
2023-09-11,マイジャグラーV,312,1927,-1009,2,7,214.1,963.5,275.3,5.663313562077248,0,2023,9,11,0,1,1,1,2,1,0,-256.0,1627.0,325.4,406.8
2023-09-11,マイジャグラーV,333,1829,393,10,2,152.4,182.9,914.5,6.000805375996533,0,2023,9,11,0,1,1,1,3,3,1,167.0,1395.0,199.3,465.0
2023-09-11,マイジャグラーV,334,171,-202,0,0,0.0,0.0,0.0,5.929248719544498,0,2023,9,11,0,1,1,1,4,3,0,-248.0,962.0,240.5,0.0
2023-09-11,マイジャグラーV,335,3492,-254,15,5,174.6,232.8,698.4,6.183799686186332,0,2023,9,11,0,1,1,1,5,3,0,-491.0,560.0,560.0,560.0
2023-09-11,マイジャグラーV,336,4282,569,19,13,133.8,225.4,329.4,6.0945826060092925,1,2023,9,11,0,1,1,1,6,3,0,2082.0,5759.0,205.7,303.1
2023-09-11,ファンキージャグラー2,316,1804,494,10,3,138.8,180.4,601.3,6.070178531891655,0,2023,9,11,0,1,1,1,6,1,0,-1131.0,2733.0,390.4,455.5
2023-09-11,ファンキージャグラー2,317,1018,76,4,3,145.4,254.5,339.3,5.786282956909954,0,2023,9,11,0,1,1,1,7,1,0,-724.0,1274.0,637.0,424.7
2023-09-11,ファンキージャグラー2,327,723,99,3,2,144.6,241.0,361.5,5.676152534234295,0,2023,9,11,0,1,1,1,7,2,0,-276.0,908.0,454.0,227.0
2023-09-11,ファンキージャグラー2,328,1051,-37,4,3,150.1,262.8,350.3,6.101978665282158,0,2023,9,11,0,1,1,1,8,2,0,-564.0,4198.0,279.9,466.4
2023-09-11,ファンキージャグラー2,329,271,276,2,1,90.3,135.5,271.0,5.59443879753628,0,2023,9,11,0,1,1,1,9,2,0,-505.0,3285.0,273.8,410.6
2023-09-11,ハッピージャグラーVIII,313,2675,-9,13,5,148.6,205.8,535.0,7.0599044438634495,0,2023,9,11,0,1,1,1,3,1,0,-169.0,2556.0,255.6,639.0
2023-09-11,ハッピージャグラーVIII,314,719,-393,1,3,179.8,719.0,239.7,6.660986916927697,0,2023,9,11,0,1,1,1,4,1,0,-208.0,2394.0,299.2,598.5
2023-09-11,ハッピージャグラーVIII,315,681,-429,2,0,340.5,340.5,0.0,6.97849309893897,0,2023,9,11,0,1,1,1,5,1,0,634.0,3078.0,219.9,439.7
2023-09-11,ハッピージャグラーVIII,330,2482,313,13,2,165.5,190.9,1241.0,6.2803552348070335,0,2023,9,11,0,1,1,1,0,3,0,-539.0,1609.0,321.8,402.2
2023-09-11,ハッピージャグラーVIII,331,443,-136,1,1,221.5,443.0,443.0,5.648952959236842,0,2023,9,11,0,1,1,1,1,3,0,-1315.0,2887.0,320.8,2887.0
2023-09-11,ハッピージャグラーVIII,332,1455,-370,5,4,161.7,291.0,363.8,7.022469791766274,0,2023,9,11,0,1,1,1,2,3,0,-752.0,4545.0,324.6,284.1
2023-09-10,アイムジャグラーEX-TP,318,2305,-254,8,6,164.6,288.1,384.2,6.162529840145847,0,2023,9,10,6,0,1,0,8,1,0,-508.0,3591.0,326.5,359.1
