ì˙ït,952,953,954,955,956,957,958,959,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,çáåv
2023-09-17 00:00:00,2092,981,1528,-1106,-857,-1528,-857,1354,5932,-1081,-534,1056,534,4004,1155,1279,2737,873,-808,-87,-882,3024,-485,-75,1877,0,310,4509,-1180,-634,-2091,-2809,857,-1852,-733,931,3526,-3478,1805,1351,335,-137,1329,1776,5971,1031,-1006,608,30545
2023-09-16 00:00:00,534,1403,1614,733,-187,-286,-758,-907,-162,-87,-187,-410,-286,-1454,-50,-187,-957,2833,1205,186,-733,-2044,112,-435,1627,0,-1733,161,1542,-1329,559,-75,-211,410,112,-882,1006,-609,-286,236,1080,-733,-1180,-261,-1305,-1056,509,-758,-3686
2023-09-15 00:00:00,-1802,-1379,882,0,-99,385,310,385,2044,-137,1155,385,1972,-733,-361,1006,-1081,-708,1453,-1280,-336,534,484,410,-733,0,1105,-609,-137,1180,-857,385,1950,-833,633,782,-112,484,1254,956,-1429,882,62,87,-659,-460,-882,-1205,5333
2023-09-07 00:00:00,-1088,-968,-361,3627,-957,2259,-162,-187,360,1876,1207,-1404,310,-1578,-1031,-758,136,3454,708,-758,534,907,211,-75,708,0,-907,-932,-1628,658,-584,4463,1056,4034,62,-1404,981,1542,1403,-162,-187,3478,1230,-1329,-559,-1542,459,-1230,15872
2023-09-06 00:00:00,-361,87,-361,1155,-435,186,1031,-609,310,360,-112,1948,-584,-1031,62,-25,-286,-1056,-485,-2354,-236,-435,1155,-559,-982,0,-758,-1205,-286,-1131,2689,-261,459,-2450,-1255,-982,-510,-1280,2928,-2809,-584,-99,956,-982,-211,2000,-112,4870,-4630
2023-09-05 00:00:00,-385,-75,1590,931,-1479,410,4689,-137,261,-162,-2378,5028,-261,-410,1279,-1379,-609,-137,633,484,2044,385,-634,-683,2116,0,335,1354,-1056,-286,-609,1877,-187,-1752,-162,-137,1056,584,261,-1454,-75,2140,1379,459,-410,3287,335,-733,17327
2023-08-27 00:00:00,-137,-187,1925,-857,832,-435,733,-683,1661,2187,-2044,1627,186,-25,-75,2092,2331,2905,-783,3813,-634,-87,956,3717,-586,0,136,-1131,907,1329,1379,-1329,3598,-1777,1652,2594,-336,-1757,-137,5119,-1628,285,1726,3574,-261,285,-825,-634,31201
2023-08-26 00:00:00,-1404,1948,-1135,-2259,360,-311,-1553,-211,2522,-510,733,-99,-286,-261,-1637,-510,-1677,-336,-1305,-1752,385,410,584,410,-1131,0,310,-708,360,1826,2570,-659,1702,-1156,-708,-361,-1727,-683,-957,-336,-112,-261,-1230,-758,1677,-162,-187,-236,-10821
2023-08-25 00:00:00,-1081,261,459,385,-1205,-584,534,-261,-808,-1702,-634,-485,112,435,-907,832,1279,1056,-808,-932,782,-286,1375,-361,62,0,757,136,658,1876,1503,1040,-510,-336,807,310,-609,1160,-385,-1081,832,-410,584,-236,-982,-609,-460,-2044,-481
