日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,year,month,day,weekday,day_end,day_end_2,day_zoro,machine_end,machine_end_2,machine_zoro,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2023-09-14,アイムジャグラーEX-TP,316,507,-190,1,2,169.0,507.0,253.5,6.238961069005986,0,2023,9,14,3,4,1,0,6,1,0,429.0,5163.0,234.7,397.2
2023-09-14,アイムジャグラーEX-TP,317,571,-238,1,2,190.3,571.0,285.5,5.979678100628034,0,2023,9,14,3,4,1,0,7,1,0,-142.0,722.0,240.7,0.0
2023-09-14,アイムジャグラーEX-TP,318,3568,-381,13,7,178.4,274.5,509.7,6.064100808741659,0,2023,9,14,3,4,1,0,8,1,0,-619.0,5360.0,282.1,595.6
2023-09-14,アイムジャグラーEX-TP,319,731,619,5,1,121.8,146.2,731.0,5.24154336850115,0,2023,9,14,3,4,1,0,9,1,0,334.0,3484.0,232.3,387.1
2023-09-14,アイムジャグラーEX-TP,320,277,-238,0,1,277.0,0.0,277.0,6.036590455256987,0,2023,9,14,3,4,1,0,0,2,0,286.0,896.0,179.2,896.0
2023-09-14,アイムジャグラーEX-TP,321,403,-190,1,1,201.5,403.0,403.0,6.683070869406162,0,2023,9,14,3,4,1,0,1,2,0,524.0,5375.0,233.7,358.3
2023-09-14,アイムジャグラーEX-TP,322,507,-285,1,1,253.5,507.0,507.0,6.236562790378422,0,2023,9,14,3,4,1,0,2,2,1,-48.0,1019.0,254.8,509.5
2023-09-14,アイムジャグラーEX-TP,323,1441,96,5,6,131.0,288.2,240.2,6.030679291781465,0,2023,9,14,3,4,1,0,3,2,0,96.0,2033.0,254.1,677.7
2023-09-14,アイムジャグラーEX-TP,324,420,-238,1,0,420.0,420.0,0.0,5.86751568687304,0,2023,9,14,3,4,1,0,4,2,0,-762.0,4485.0,299.0,747.5
2023-09-14,マイジャグラーV,356,6839,238,26,25,134.1,263.0,273.6,6.118169046842457,1,2023,9,14,3,4,1,0,6,5,0,810.0,6564.0,252.5,273.5
2023-09-14,マイジャグラーV,357,2698,572,12,7,142.0,224.8,385.4,5.589364136129874,0,2023,9,14,3,4,1,0,7,5,0,-190.0,2791.0,232.6,697.8
2023-09-14,マイジャグラーV,358,3683,-1142,12,5,216.6,306.9,736.6,6.099333193048394,0,2023,9,14,3,4,1,0,8,5,0,-619.0,4409.0,293.9,489.9
2023-09-14,マイジャグラーV,359,3000,-571,11,4,200.0,272.7,750.0,5.988263004511158,0,2023,9,14,3,4,1,0,9,5,0,-238.0,7015.0,259.8,334.0
2023-09-14,マイジャグラーV,360,2919,-476,9,9,162.2,324.3,324.3,5.987512574846887,0,2023,9,14,3,4,1,0,0,6,0,-238.0,5711.0,238.0,634.6
2023-09-14,マイジャグラーV,361,1816,-619,5,3,227.0,363.2,605.3,5.824147125653505,0,2023,9,14,3,4,1,0,1,6,0,-571.0,3163.0,263.6,632.6
2023-09-14,マイジャグラーV,362,4822,-48,19,12,155.5,253.8,401.8,5.9664689333451655,1,2023,9,14,3,4,1,0,2,6,0,715.0,7935.0,256.0,273.6
2023-09-14,マイジャグラーV,363,1789,-285,5,5,178.9,357.8,357.8,5.569699096578228,0,2023,9,14,3,4,1,0,3,6,0,-523.0,1103.0,367.7,0.0
2023-09-14,マイジャグラーV,364,4206,238,21,4,168.2,200.3,1051.5,6.144452506583273,1,2023,9,14,3,4,1,0,4,6,0,2191.0,7029.0,213.0,281.2
2023-09-14,マイジャグラーV,365,1820,-1000,4,4,227.5,455.0,455.0,6.420985757142266,0,2023,9,14,3,4,1,0,5,6,0,334.0,5060.0,241.0,389.2
2023-09-14,マイジャグラーV,366,3464,-476,13,8,165.0,266.5,433.0,6.273223058861231,0,2023,9,14,3,4,1,0,6,6,1,238.0,7304.0,270.5,292.2
2023-09-14,マイジャグラーV,367,6288,-238,18,27,139.7,349.3,232.9,5.719143504052101,5,2023,9,14,3,4,1,0,7,6,0,-619.0,5399.0,225.0,599.9
2023-09-14,マイジャグラーV,368,4934,1429,24,14,129.8,205.6,352.4,5.771490091154831,2,2023,9,14,3,4,1,0,8,6,0,-142.0,5998.0,239.9,428.4
2023-09-14,マイジャグラーV,417,3171,-1476,6,8,226.5,528.5,396.4,5.830637588563582,0,2023,9,14,3,4,1,0,7,1,0,-95.0,6393.0,266.4,355.2
2023-09-14,マイジャグラーV,418,5363,619,24,13,144.9,223.5,412.5,5.950638667232583,1,2023,9,14,3,4,1,0,8,1,0,-1238.0,1314.0,1314.0,657.0
2023-09-14,マイジャグラーV,419,908,-285,3,2,181.6,302.7,454.0,6.576902808261446,0,2023,9,14,3,4,1,0,9,1,0,762.0,6226.0,222.4,622.6
2023-09-14,マイジャグラーV,420,5839,-1762,14,17,188.4,417.1,343.5,5.806328753406735,2,2023,9,14,3,4,1,0,0,2,0,-1381.0,3267.0,363.0,816.8
2023-09-14,マイジャグラーV,421,2720,-95,10,8,151.1,272.0,340.0,5.988647549817512,0,2023,9,14,3,4,1,0,1,2,0,-1047.0,4817.0,301.1,481.7
2023-09-14,マイジャグラーV,422,4169,-2095,8,11,219.4,521.1,379.0,6.071694968137591,1,2023,9,14,3,4,1,0,2,2,1,-1857.0,2692.0,538.4,897.3
2023-09-14,マイジャグラーV,423,2421,619,13,0,186.2,186.2,0.0,5.327958968377851,0,2023,9,14,3,4,1,0,3,2,0,905.0,4684.0,212.9,390.3
2023-09-14,マイジャグラーV,424,1394,-809,3,2,278.8,464.7,697.0,6.160274908233612,0,2023,9,14,3,4,1,0,4,2,0,143.0,5343.0,281.2,356.2
2023-09-14,マイジャグラーV,425,3436,-1047,9,9,190.9,381.8,381.8,5.927457971782765,0,2023,9,14,3,4,1,0,5,2,0,-2476.0,3606.0,901.5,327.8
2023-09-14,マイジャグラーV,426,2794,1238,16,6,127.0,174.6,465.7,5.718377842542511,0,2023,9,14,3,4,1,0,6,2,0,-1619.0,3421.0,570.2,380.1
2023-09-14,マイジャグラーV,427,3517,619,17,7,146.5,206.9,502.4,5.880196624027725,0,2023,9,14,3,4,1,0,7,2,0,-381.0,6158.0,279.9,362.2
2023-09-14,マイジャグラーV,428,1410,572,8,3,128.2,176.2,470.0,5.813542079350418,0,2023,9,14,3,4,1,0,8,2,0,-619.0,5416.0,300.9,338.5
2023-09-14,マイジャグラーV,429,5946,-285,23,14,160.7,258.5,424.7,6.002058188122022,1,2023,9,14,3,4,1,0,9,2,0,-1333.0,2163.0,540.8,540.8
2023-09-14,マイジャグラーV,430,3662,810,18,8,140.8,203.4,457.8,5.84948884240952,0,2023,9,14,3,4,1,0,0,3,0,667.0,6174.0,212.9,617.4
2023-09-14,マイジャグラーV,431,1980,-190,6,6,165.0,330.0,330.0,5.630099478597339,0,2023,9,14,3,4,1,0,1,3,0,238.0,3982.0,234.2,398.2
2023-09-14,マイジャグラーV,432,1070,-285,4,1,214.0,267.5,1070.0,6.246273488560526,0,2023,9,14,3,4,1,0,2,3,0,1477.0,6983.0,199.5,498.8
2023-09-14,マイジャグラーV,433,3736,191,17,5,169.8,219.8,747.2,5.858600022603282,0,2023,9,14,3,4,1,0,3,3,1,953.0,7199.0,248.2,300.0
2023-09-14,ファンキージャグラー2,338,714,-428,1,1,357.0,714.0,714.0,5.476553123428199,0,2023,9,14,3,4,1,0,8,3,0,143.0,5923.0,257.5,311.7
2023-09-14,ファンキージャグラー2,339,3010,-523,9,7,188.1,334.4,430.0,5.641475339513497,0,2023,9,14,3,4,1,0,9,3,0,-428.0,491.0,0.0,491.0
2023-09-14,ファンキージャグラー2,340,2021,572,10,5,134.7,202.1,404.2,5.746062900268385,0,2023,9,14,3,4,1,0,0,4,0,-666.0,680.0,680.0,680.0
2023-09-14,ファンキージャグラー2,341,771,-285,2,2,192.8,385.5,385.5,6.195086777919095,0,2023,9,14,3,4,1,0,1,4,0,1381.0,4120.0,179.1,515.0
2023-09-14,ファンキージャグラー2,342,603,-381,1,1,301.5,603.0,603.0,5.960661855878758,0,2023,9,14,3,4,1,0,2,4,0,-571.0,975.0,487.5,975.0
2023-09-14,ファンキージャグラー2,343,637,-238,1,2,212.3,637.0,318.5,5.403846890015068,0,2023,9,14,3,4,1,0,3,4,0,-666.0,1313.0,437.7,656.5
2023-09-14,ファンキージャグラー2,344,1156,-857,2,1,385.3,578.0,1156.0,6.196617161627716,0,2023,9,14,3,4,1,0,4,4,1,-95.0,1338.0,223.0,1338.0
2023-09-14,ファンキージャグラー2,345,272,-333,0,0,0.0,0.0,0.0,6.132922066794736,0,2023,9,14,3,4,1,0,5,4,0,-666.0,3124.0,312.4,446.3
2023-09-14,ファンキージャグラー2,346,1750,-95,6,7,134.6,291.7,250.0,6.283732986231892,0,2023,9,14,3,4,1,0,6,4,0,-428.0,555.0,0.0,277.5
2023-09-14,ファンキージャグラー2,347,1851,-857,4,5,205.7,462.8,370.2,6.194847274298575,0,2023,9,14,3,4,1,0,7,4,0,-571.0,759.0,759.0,759.0
2023-09-14,ファンキージャグラー2,348,2706,-95,9,10,142.4,300.7,270.6,5.94413011933676,0,2023,9,14,3,4,1,0,8,4,0,-1047.0,2052.0,410.4,513.0
2023-09-14,ファンキージャグラー2,349,1023,-142,3,3,170.5,341.0,341.0,5.677970411419048,0,2023,9,14,3,4,1,0,9,4,0,-523.0,782.0,782.0,391.0
2023-09-14,ファンキージャグラー2,350,6304,572,25,18,146.6,252.2,350.2,5.719745966701261,3,2023,9,14,3,4,1,0,0,5,0,-381.0,3342.0,334.2,257.1
2023-09-14,ファンキージャグラー2,351,708,238,2,5,101.1,354.0,141.6,5.275857289550673,0,2023,9,14,3,4,1,0,1,5,0,-428.0,866.0,866.0,433.0
2023-09-14,ファンキージャグラー2,352,1032,-619,3,1,258.0,344.0,1032.0,7.010760022092046,0,2023,9,14,3,4,1,0,2,5,0,572.0,1623.0,180.3,811.5
2023-09-14,ファンキージャグラー2,353,546,-381,0,2,273.0,0.0,273.0,5.39812266937166,0,2023,9,14,3,4,1,0,3,5,0,381.0,5207.0,236.7,400.5
2023-09-14,ファンキージャグラー2,354,5132,-476,20,11,165.5,256.6,466.5,6.156671452922878,1,2023,9,14,3,4,1,0,4,5,0,-476.0,553.0,0.0,276.5
2023-09-14,ファンキージャグラー2,355,2241,1572,15,5,112.0,149.4,448.2,5.648719410922502,0,2023,9,14,3,4,1,0,5,5,1,-1000.0,3938.0,437.6,231.6
2023-09-14,ハッピージャグラーVIII,369,987,-190,3,2,197.4,329.0,493.5,5.859496313363132,0,2023,9,14,3,4,1,0,9,6,0,-381.0,766.0,383.0,766.0
