,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
7633,2023-07-25,マイジャグラーV,977,3940,2100,23,11,115.9,171.3,358.2,5.710364031721363,0,5,-488.0,3261.0,296.5,407.6
7634,2023-07-25,マイジャグラーV,978,5635,412,22,16,148.3,256.1,352.2,5.717883182568453,2,5,288.0,7668.0,284.0,306.7
7635,2023-07-25,マイジャグラーV,979,2419,-462,6,10,151.2,403.2,241.9,5.915596849837076,0,5,-862.0,1316.0,438.7,1316.0
7636,2023-07-25,マイジャグラーV,980,7310,-962,21,25,158.9,348.1,292.4,5.7725673798436095,3,5,-1238.0,4396.0,338.2,488.4
7637,2023-07-25,マイジャグラーV,981,7537,1088,30,27,132.2,251.2,279.1,5.791369351888783,4,5,588.0,5342.0,267.1,281.2
7638,2023-07-25,マイジャグラーV,1018,3610,-212,10,14,150.4,361.0,257.9,5.556824077241547,0,5,0.0,2506.0,208.8,626.5
7639,2023-07-25,マイジャグラーV,1019,7617,262,31,20,149.4,245.7,380.9,5.965171638215539,1,5,638.0,6365.0,227.3,424.3
7640,2023-07-25,マイジャグラーV,1020,3573,388,14,12,137.4,255.2,297.8,5.789652717027367,0,5,-962.0,2009.0,401.8,1004.5
7641,2023-07-25,マイジャグラーV,1021,6845,-1512,17,28,152.1,402.6,244.5,6.034008281125416,1,5,-1412.0,2785.0,464.2,557.0
7642,2023-07-25,マイジャグラーV,1022,2146,-638,6,5,195.1,357.7,429.2,5.959523187880584,0,5,-1038.0,2968.0,371.0,593.6
7643,2023-07-25,マイジャグラーV,1023,5232,-1788,14,12,201.2,373.7,436.0,6.014455937971646,1,5,3084.0,6134.0,185.9,255.6
7644,2023-07-25,マイジャグラーV,1024,5585,1338,27,17,126.9,206.9,328.5,6.044364076588343,1,5,-762.0,4925.0,351.8,246.2
7645,2023-07-25,マイジャグラーV,1025,5654,1088,26,19,125.6,217.5,297.6,6.141174273277383,1,5,238.0,5747.0,273.7,319.3
7646,2023-07-25,マイジャグラーV,1026,5397,-662,18,13,174.1,299.8,415.2,5.7950314372737886,1,5,1138.0,7350.0,229.7,319.6
7647,2023-07-25,マイジャグラーV,1027,5979,-688,19,17,166.1,314.7,351.7,5.778878262051704,2,5,-1716.0,4931.0,352.2,616.4
7648,2023-07-25,マイジャグラーV,1028,2822,-1288,8,4,235.2,352.8,705.5,6.3448601346462725,0,5,-462.0,6090.0,304.5,290.0
7649,2023-07-25,マイジャグラーV,1029,6494,1572,34,14,135.3,191.0,463.9,6.085323502471662,1,5,-612.0,3322.0,369.1,302.0
7650,2023-07-25,マイジャグラーV,1030,1721,-1112,2,4,286.8,860.5,430.2,5.776277174509183,0,5,-912.0,3161.0,316.1,632.2
7651,2023-07-25,マイジャグラーV,1031,3870,-188,14,8,175.9,276.4,483.8,5.635596334102834,0,5,733.0,4762.0,216.5,432.9
7652,2023-07-25,マイジャグラーV,1032,2569,-362,11,0,233.5,233.5,0.0,5.859976049087187,0,5,1788.0,7574.0,199.3,378.7
