“ú•t,952,953,954,955,956,957,958,959,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035
2023-09-17,6,1,1,1,1,1,1,1,5,1,2,1,1,6,5,1,5,1,3,1,5,4,3,1,3,0,3,6,1,2,1,2,2,1,2,1,1,1,5,5,1,1,5,1,5,1,1,1
2023-09-16,1,1,1,1,1,2,0,0,1,0,1,0,4,0,1,1,1,5,4,1,1,0,1,1,1,0,0,1,1,1,4,2,1,1,1,0,3,0,1,1,2,0,3,0,0,1,1,1
2023-09-15,1,0,3,0,1,1,0,2,3,0,3,0,4,3,1,1,0,1,0,2,0,1,2,1,0,0,3,0,3,1,0,2,3,0,1,0,1,1,1,1,0,1,0,0,1,2,0,0
2023-09-07,1,2,0,5,0,5,1,0,1,1,5,1,1,2,2,1,1,5,1,0,1,3,3,3,3,0,3,1,0,3,3,3,1,6,1,0,2,1,4,1,0,3,5,0,1,1,4,0
2023-09-06,2,1,0,2,2,1,2,0,4,1,1,1,0,1,2,5,0,0,1,2,0,0,3,1,0,0,1,0,3,0,3,0,2,0,0,0,1,0,4,1,0,1,5,0,5,4,0,5
2023-09-05,1,0,1,3,0,3,5,1,5,1,1,6,1,5,1,1,0,6,1,4,5,1,0,1,5,0,5,1,1,1,0,1,1,1,1,0,4,0,2,0,1,1,5,1,0,1,3,1
2023-08-27,1,1,6,2,1,1,4,1,1,3,1,1,2,2,1,4,5,1,1,6,4,2,2,6,1,0,1,1,3,1,3,5,6,1,1,1,3,4,1,4,1,4,4,5,1,4,1,4
2023-08-26,1,3,1,3,1,0,3,1,1,0,3,1,4,1,1,2,0,1,3,1,1,1,1,1,1,0,1,1,6,3,3,0,1,0,1,1,1,3,0,3,1,1,1,1,1,0,1,1
2023-08-25,1,4,4,3,4,0,1,0,0,1,0,4,0,1,2,1,3,1,4,1,1,0,2,0,0,0,5,0,2,1,2,1,0,0,1,1,0,1,1,0,1,0,3,0,0,0,0,1
2023-08-17,2,2,4,4,0,1,1,1,1,1,6,4,1,1,1,1,1,4,0,4,3,3,6,1,1,0,1,0,1,3,5,3,1,5,1,3,5,1,5,1,3,1,1,5,3,1,2,0
2023-08-16,1,1,1,2,1,1,1,3,1,1,3,2,1,1,1,1,1,3,3,2,3,1,1,1,1,0,1,1,1,1,1,2,1,1,4,1,1,3,1,5,1,5,1,1,3,1,1,2
2023-08-15,2,1,1,2,1,3,1,1,1,0,2,0,1,1,1,1,1,1,1,0,1,2,0,2,1,0,3,2,1,1,3,2,1,1,2,1,0,1,3,1,0,1,1,1,0,1,0,1
2023-08-07,5,1,3,1,1,1,1,1,1,4,3,3,1,1,1,1,1,6,0,6,1,0,2,1,5,1,0,5,1,2,1,1,3,1,1,5,0,3,4,1,1,0,1,0,1,4,3,0
2023-08-06,1,3,2,1,2,3,3,2,1,1,1,1,1,1,1,1,1,1,4,1,1,3,3,1,5,1,1,0,3,1,3,0,4,3,3,1,1,1,3,3,0,1,1,1,1,1,1,4
2023-08-05,1,1,4,0,3,2,0,1,1,2,4,0,1,1,3,3,0,0,2,1,1,2,2,3,0,1,2,0,1,1,3,0,3,0,1,1,1,3,1,1,3,1,0,2,0,1,0,3
2023-07-27,1,4,0,2,1,1,1,1,1,0,4,6,0,1,5,1,4,0,3,1,1,1,5,1,5,1,0,6,0,1,4,3,3,1,1,2,4,1,3,2,1,5,4,1,5,0,0,4
2023-07-26,1,0,1,2,1,1,0,1,3,1,0,1,0,1,2,4,2,1,0,1,2,0,0,3,0,2,3,0,1,2,1,0,1,0,3,1,0,3,1,1,0,1,0,0,1,0,1,1
2023-07-25,1,0,3,0,1,4,0,1,0,1,2,1,1,0,1,1,0,1,0,1,1,0,2,0,0,0,2,0,3,4,0,1,0,1,0,1,1,1,1,2,0,1,0,0,0,1,0,1
2023-07-17,1,1,1,5,1,1,3,1,1,1,2,5,4,0,5,4,3,1,1,3,1,6,1,1,1,1,6,1,1,1,4,1,2,1,5,3,3,1,2,1,1,1,1,1,1,1,1,1
2023-07-16,1,2,0,1,1,4,0,2,1,0,2,0,3,1,2,1,4,1,4,1,4,2,1,1,1,5,1,3,1,1,1,1,2,0,1,1,2,1,1,1,1,4,2,1,3,3,0,3
2023-07-15,1,0,2,1,1,1,3,1,2,1,1,2,3,3,1,1,3,1,1,4,5,1,1,1,2,3,3,1,3,1,3,1,3,3,1,0,2,5,1,2,3,3,5,1,1,5,2,1
