,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
714,2023-06-28,マイジャグラーV,149,1533,-612,5,0,306.6,306.6,0.0,5.9216268342865614,0,8,-319.0,5337.0,355.8,254.1
715,2023-06-28,マイジャグラーV,150,4459,-388,17,6,193.9,262.3,743.2,5.701241090917779,1,8,-698.0,5159.0,303.5,396.8
716,2023-06-28,マイジャグラーV,1097,7022,1162,28,26,130.0,250.8,270.1,5.7581674273814425,4,8,-982.0,5122.0,365.9,284.6
717,2023-06-28,マイジャグラーV,1098,2626,88,10,7,154.5,262.6,375.1,5.718140248484006,0,8,-343.0,4415.0,315.4,315.4
718,2023-06-28,マイジャグラーV,1099,5926,-1238,16,19,169.3,370.4,311.9,5.838300854061594,3,8,-698.0,1161.0,0.0,290.2
719,2023-06-28,マイジャグラーV,1100,4840,662,22,12,142.4,220.0,403.3,5.95393218778776,1,8,0.0,1538.0,219.7,769.0
720,2023-06-28,マイジャグラーV,1101,5277,62,21,12,159.9,251.3,439.8,5.824216592339636,1,8,-366.0,3983.0,306.4,331.9
721,2023-06-28,マイジャグラーV,1102,3713,-212,12,10,168.8,309.4,371.3,5.541421041198427,0,8,-224.0,1528.0,254.7,0.0
722,2023-06-28,マイジャグラーV,1103,6241,938,28,15,145.1,222.9,416.1,5.803362803489544,1,8,-958.0,1513.0,756.5,504.3
723,2023-06-28,マイジャグラーV,1118,7563,3468,39,30,109.6,193.9,252.1,5.807557901370994,5,8,-1621.0,4632.0,463.2,330.9
724,2023-06-28,マイジャグラーV,1119,6484,-1188,20,16,180.1,324.2,405.2,5.821148367582877,1,8,107.0,2817.0,281.7,281.7
725,2023-06-28,マイジャグラーV,1120,1433,-412,4,3,204.7,358.2,477.7,5.814863284595625,0,8,-485.0,1619.0,404.8,323.8
726,2023-06-28,マイジャグラーV,1121,7819,1662,33,27,130.3,236.9,289.6,5.696273617949786,4,8,2393.0,5412.0,169.1,386.6
727,2023-06-28,マイジャグラーV,1122,6445,1380,30,18,134.3,214.8,358.1,5.860911887754307,2,8,1006.0,5644.0,256.5,245.4
728,2023-06-28,マイジャグラーV,1123,7627,1668,32,22,141.2,238.3,346.7,5.439672228331229,2,8,-343.0,656.0,656.0,656.0
729,2023-06-28,マイジャグラーV,1124,3940,-2004,8,9,231.8,492.5,437.8,6.067327859109872,0,8,-224.0,3422.0,285.2,380.2
1166,2023-06-08,マイジャグラーV,131,5021,-1692,13,7,251.1,386.2,717.3,5.550526369827671,1,8,83.0,4351.0,217.6,725.2
1167,2023-06-08,マイジャグラーV,132,4072,-650,14,6,203.6,290.9,678.7,5.681875502265863,1,8,320.0,1957.0,195.7,652.3
1168,2023-06-08,マイジャグラーV,133,2266,-95,8,6,161.9,283.2,377.7,5.748203485058911,0,8,-106.0,3889.0,277.8,299.2
1169,2023-06-08,マイジャグラーV,134,5781,-1621,15,17,180.7,385.4,340.1,5.92923538339215,1,8,-769.0,947.0,947.0,473.5
1170,2023-06-08,マイジャグラーV,135,2241,-508,7,5,186.8,320.1,448.2,5.95235381811043,0,8,-958.0,5543.0,291.7,426.4
