日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日の差枚,前日のG数,前日のBB確率,前日のRB確率,翌日,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング
2023-08-19,マイジャグラーV,548,4620,-1049,13,12,184.8,355.4,385.0,5.785125234656794,0,9,25,20,-1995.0,7098.0,443.6,295.8,,,,,
2023-08-19,マイジャグラーV,549,5693,-909,18,15,172.5,316.3,379.5,5.867516600099715,2,9,33,20,937.0,7281.0,260.0,316.6,,,,,
2023-08-19,マイジャグラーV,550,5991,-1496,19,13,187.2,315.3,460.8,6.081920738992251,1,9,32,20,573.0,6268.0,241.1,348.2,,,,,
2023-08-19,ファンキージャグラー2,481,8110,1996,33,33,122.9,245.8,245.8,5.658835209712263,6,9,66,8,-685.0,5724.0,336.7,318.0,,,,,
2023-08-19,ファンキージャグラー2,482,4543,98,16,14,151.4,283.9,324.5,5.657195994865873,0,9,30,8,154.0,5787.0,251.6,385.8,,,,,
2023-08-19,ファンキージャグラー2,483,8234,2176,38,27,126.7,216.7,305.0,5.811859677045461,4,9,65,8,1077.0,7213.0,257.6,257.6,,,,,
2023-08-19,ファンキージャグラー2,484,8842,4812,46,44,98.2,192.2,201.0,5.907335242460886,4,9,90,8,266.0,6182.0,237.8,412.1,,,,,
2023-08-19,ファンキージャグラー2,557,4261,-657,15,8,185.3,284.1,532.6,5.910830488850199,0,9,23,8,629.0,7330.0,244.3,366.5,,,,,
2023-08-19,ファンキージャグラー2,558,4856,-685,19,5,202.3,255.6,971.2,5.9108079049508975,0,9,24,8,657.0,7718.0,249.0,367.5,,,,,
2023-08-19,ファンキージャグラー2,559,5926,1469,31,13,134.7,191.2,455.8,6.078668650525557,1,9,44,8,-2304.0,6098.0,435.6,320.9,,,,,
2023-08-19,ファンキージャグラー2,560,6758,154,28,14,160.9,241.4,482.7,5.86985141862596,1,9,42,8,-1049.0,5521.0,324.8,345.1,,,,,
2023-08-19,ハッピージャグラーVIII,504,5591,-266,22,13,159.7,254.1,430.1,6.314074113265947,1,9,35,4,-2768.0,7661.0,478.8,348.2,,,,,
2023-08-19,ハッピージャグラーVIII,505,5830,210,21,18,149.5,277.6,323.9,5.893465998656279,3,9,39,4,3438.0,7857.0,224.5,218.2,,,,,
2023-08-19,ハッピージャグラーVIII,536,7758,-2304,23,16,198.9,337.3,484.9,6.272976733041721,1,9,39,4,1455.0,7999.0,242.4,275.8,,,,,
2023-08-19,ハッピージャグラーVIII,537,7702,909,31,26,135.1,248.5,296.2,6.104600974425727,4,9,57,4,2202.0,7721.0,227.1,335.7,,,,,
2023-08-13,アイムジャグラーEX-TP,485,4947,-461,18,12,164.9,274.8,412.2,6.202066407670112,0,3,30,12,-1524.0,2820.0,564.0,564.0,,,,,
2023-08-13,アイムジャグラーEX-TP,486,5983,-657,22,12,176.0,272.0,498.6,6.136851983868952,1,3,34,12,1413.0,6337.0,211.2,487.5,,,,,
2023-08-13,アイムジャグラーEX-TP,487,3827,-294,14,9,166.4,273.4,425.2,6.114479968910897,0,3,23,12,2357.0,8083.0,218.5,299.4,,,,,
2023-08-13,アイムジャグラーEX-TP,488,9048,1552,33,39,125.7,274.2,232.0,5.826968705262494,6,3,72,12,1816.0,7201.0,248.3,200.0,,,,,
2023-08-13,アイムジャグラーEX-TP,489,8671,3181,40,34,117.2,216.8,255.0,5.870901085614989,6,3,74,12,-685.0,5673.0,283.6,472.8,,,,,
2023-08-13,アイムジャグラーEX-TP,490,4870,-741,16,12,173.9,304.4,405.8,6.079028873265105,0,3,28,12,-573.0,4721.0,337.2,337.2,,,,,
2023-08-13,アイムジャグラーEX-TP,551,6596,2408,32,22,122.1,206.1,299.8,5.896327930374414,4,3,54,12,-350.0,3396.0,261.2,849.0,,,,,
2023-08-13,アイムジャグラーEX-TP,552,6096,-98,22,19,148.7,277.1,320.8,6.11327863185787,3,3,41,12,1945.0,7561.0,236.3,229.1,,,,,
2023-08-13,アイムジャグラーEX-TP,553,3573,-1860,7,7,255.2,510.4,510.4,6.019981486156014,0,3,14,12,-154.0,6009.0,286.1,286.1,,,,,
2023-08-13,アイムジャグラーEX-TP,554,5052,-545,19,12,163.0,265.9,421.0,6.403729028817326,1,3,31,12,1888.0,7544.0,221.9,328.0,,,,,
2023-08-13,アイムジャグラーEX-TP,555,5533,-517,20,14,162.7,276.6,395.2,6.222364430558289,2,3,34,12,-98.0,5344.0,232.3,763.4,,,,,
2023-08-13,アイムジャグラーEX-TP,556,4548,-629,14,13,168.4,324.9,349.8,5.950884243433717,0,3,27,12,-881.0,3799.0,379.9,292.2,,,,,
2023-08-13,マイジャグラーV,491,8057,2279,34,29,127.9,237.0,277.8,5.475955939015614,4,3,63,20,2048.0,6127.0,191.5,471.3,,,,,
2023-08-13,マイジャグラーV,492,6931,-28,23,23,150.7,301.3,301.3,5.647814193692685,3,3,46,20,-1189.0,5237.0,374.1,327.3,,,,,
2023-08-13,マイジャグラーV,493,5974,126,23,16,153.2,259.7,373.4,5.816492141111244,2,3,39,20,573.0,8041.0,268.0,297.8,,,,,
2023-08-13,マイジャグラーV,494,9462,1867,38,37,126.2,249.0,255.7,5.736664169769742,5,3,75,20,1198.0,8524.0,293.9,224.3,,,,,
2023-08-13,マイジャグラーV,495,8927,4979,47,36,107.6,189.9,248.0,5.538145535697867,5,3,83,20,-601.0,3906.0,325.5,390.6,,,,,
2023-08-13,マイジャグラーV,496,4273,-1077,14,5,224.9,305.2,854.6,5.7838944322586565,0,3,19,20,-378.0,4785.0,299.1,435.0,,,,,
2023-08-13,マイジャグラーV,497,7331,1329,33,20,138.3,222.2,366.6,5.818216201797015,2,3,53,20,-182.0,7172.0,275.8,311.8,,,,,
2023-08-13,マイジャグラーV,498,4717,-2433,8,11,248.3,589.6,428.8,5.768478198881527,0,3,19,20,-1776.0,5458.0,363.9,496.2,,,,,
2023-08-13,マイジャグラーV,499,6530,-461,22,19,159.3,296.8,343.7,5.81082931913554,2,3,41,20,-1105.0,5364.0,282.3,894.0,,,,,
2023-08-13,マイジャグラーV,500,7197,-1326,23,19,171.4,312.9,378.8,6.013960454079961,1,3,42,20,434.0,6916.0,230.5,532.0,,,,,
2023-08-13,マイジャグラーV,541,7461,-154,24,27,146.3,310.9,276.3,5.732322036915676,4,3,51,20,-1329.0,5485.0,322.6,498.6,,,,,
2023-08-13,マイジャグラーV,542,6142,-881,18,19,166.0,341.2,323.3,5.750084813633978,3,3,37,20,1525.0,7727.0,227.3,386.4,,,,,
2023-08-13,マイジャグラーV,543,6824,4263,35,38,93.5,195.0,179.6,5.723579749545411,6,3,73,20,3206.0,8910.0,198.0,318.2,,,,,
2023-08-13,マイジャグラーV,544,9268,1636,35,41,121.9,264.8,226.0,5.787999812058625,6,3,76,20,-1189.0,4270.0,355.8,355.8,,,,,
2023-08-13,マイジャグラーV,545,8161,2975,39,32,114.9,209.3,255.0,5.804458526679296,5,3,71,20,-154.0,8356.0,334.2,245.8,,,,,
2023-08-13,マイジャグラーV,546,6175,294,25,11,171.5,247.0,561.4,5.55616619021698,1,3,36,20,-2459.0,5289.0,528.9,440.8,,,,,
2023-08-13,マイジャグラーV,547,5025,-1860,13,14,186.1,386.5,358.9,6.269335079701845,1,3,27,20,-937.0,5069.0,281.6,1013.8,,,,,
2023-08-13,マイジャグラーV,548,7098,-1995,16,24,177.4,443.6,295.8,5.763292175668922,3,3,40,20,545.0,8119.0,261.9,280.0,,,,,
2023-08-13,マイジャグラーV,549,7281,937,28,23,142.8,260.0,316.6,5.562240590333634,3,3,51,20,378.0,6162.0,256.8,324.3,,,,,
2023-08-13,マイジャグラーV,550,6268,573,26,18,142.5,241.1,348.2,5.899736917195729,2,3,44,20,-1692.0,3703.0,411.4,925.8,,,,,
2023-08-13,ファンキージャグラー2,481,5724,-685,17,18,163.5,336.7,318.0,5.718618208404071,4,3,35,8,-797.0,3461.0,314.6,576.8,,,,,
2023-08-13,ファンキージャグラー2,482,5787,154,23,15,152.3,251.6,385.8,5.893010170241371,2,3,38,8,266.0,7417.0,231.8,463.6,,,,,
2023-08-13,ファンキージャグラー2,483,7213,1077,28,28,128.8,257.6,257.6,5.799097937974675,6,3,56,8,-2201.0,4413.0,441.3,551.6,,,,,
2023-08-13,ファンキージャグラー2,484,6182,266,26,15,150.8,237.8,412.1,5.995267356120797,1,3,41,8,-1021.0,5269.0,309.9,405.3,,,,,
2023-08-13,ファンキージャグラー2,557,7330,629,30,20,146.6,244.3,366.5,5.816380709493306,2,3,50,8,-350.0,4125.0,257.8,458.3,,,,,
2023-08-13,ファンキージャグラー2,558,7718,657,31,21,148.4,249.0,367.5,5.7401535922452736,2,3,52,8,-461.0,5693.0,271.1,406.6,,,,,
2023-08-13,ファンキージャグラー2,559,6098,-2304,14,19,184.8,435.6,320.9,6.131136801794237,1,3,33,8,-1077.0,3367.0,336.7,561.2,,,,,
2023-08-13,ファンキージャグラー2,560,5521,-1049,17,16,167.3,324.8,345.1,6.033300601047492,1,3,33,8,-1468.0,4250.0,386.4,607.1,,,,,
2023-08-13,ハッピージャグラーVIII,504,7661,-2768,16,22,201.6,478.8,348.2,5.954350452677046,2,3,38,4,-853.0,2113.0,352.2,704.3,,,,,
2023-08-13,ハッピージャグラーVIII,505,7857,3438,35,36,110.7,224.5,218.2,5.667289071261101,6,3,71,4,-545.0,3526.0,320.5,352.6,,,,,
2023-08-13,ハッピージャグラーVIII,536,7999,1455,33,29,129.0,242.4,275.8,6.031564275242356,4,3,62,4,-182.0,2298.0,255.3,766.0,,,,,
2023-08-13,ハッピージャグラーVIII,537,7721,2202,34,23,135.5,227.1,335.7,5.614509000925628,2,3,57,4,-629.0,2229.0,371.5,371.5,,,,,
2023-08-11,アイムジャグラーEX-TP,485,2820,-1524,5,5,282.0,564.0,564.0,5.824396911582557,0,1,10,12,629.0,5875.0,279.8,279.8,,,,,
2023-08-11,アイムジャグラーEX-TP,486,6337,1413,30,13,147.4,211.2,487.5,5.854573052095916,1,1,43,12,1161.0,7876.0,231.6,302.9,,,,,
2023-08-11,アイムジャグラーEX-TP,487,8083,2357,37,27,126.3,218.5,299.4,5.918679178679762,4,1,64,12,713.0,5810.0,242.1,290.5,,,,,
2023-08-11,アイムジャグラーEX-TP,488,7201,1816,29,36,110.8,248.3,200.0,6.189628398726802,5,1,65,12,518.0,6999.0,280.0,304.3,,,,,
2023-08-11,アイムジャグラーEX-TP,489,5673,-685,20,12,177.3,283.6,472.8,6.05915012200755,1,1,32,12,1301.0,7225.0,233.1,361.2,,,,,
2023-08-11,アイムジャグラーEX-TP,490,4721,-573,14,14,168.6,337.2,337.2,5.799577320023796,0,1,28,12,-657.0,4132.0,295.1,413.2,,,,,
2023-08-11,アイムジャグラーEX-TP,551,3396,-350,13,4,199.8,261.2,849.0,5.920341181800863,0,1,17,12,98.0,6385.0,266.0,425.7,,,,,
2023-08-11,アイムジャグラーEX-TP,552,7561,1945,32,33,116.3,236.3,229.1,6.123272761901895,5,1,65,12,3594.0,8167.0,189.9,281.6,,,,,
2023-08-11,アイムジャグラーEX-TP,553,6009,-154,21,21,143.1,286.1,286.1,6.193109630119543,4,1,42,12,2434.0,5628.0,201.0,312.7,,,,,
2023-08-11,アイムジャグラーEX-TP,554,7544,1888,34,23,132.4,221.9,328.0,5.90043634680991,3,1,57,12,-210.0,3666.0,305.5,407.3,,,,,
2023-08-11,アイムジャグラーEX-TP,555,5344,-98,23,7,178.1,232.3,763.4,6.135615519001544,1,1,30,12,238.0,6554.0,273.1,327.7,,,,,
2023-08-11,アイムジャグラーEX-TP,556,3799,-881,10,13,165.2,379.9,292.2,6.110986616135023,0,1,23,12,-378.0,4699.0,361.5,247.3,,,,,
2023-08-11,マイジャグラーV,491,6127,2048,32,13,136.2,191.5,471.3,5.661152722471339,1,1,45,20,-266.0,5910.0,295.5,311.1,,,,,
2023-08-11,マイジャグラーV,492,5237,-1189,14,16,174.6,374.1,327.3,5.82707462573942,3,1,30,20,-909.0,3135.0,313.5,522.5,,,,,
2023-08-11,マイジャグラーV,493,8041,573,30,27,141.1,268.0,297.8,5.758099457961601,3,1,57,20,629.0,8585.0,286.2,238.5,,,,,
2023-08-11,マイジャグラーV,494,8524,1198,29,38,127.2,293.9,224.3,5.584707307661908,6,1,67,20,1996.0,6003.0,230.9,230.9,,,,,
