日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日の差枚,前日のG数,前日のBB確率,前日のRB確率,翌日,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング
2023-09-09,アイムジャグラーEX-TP,16,873,-746,1,1,436.5,873.0,873.0,6.265231581762134,0,9,2,4,-478.0,1625.0,270.8,1625.0,2023-09-09,3.0,4.0,4.0,1.0
2023-09-09,アイムジャグラーEX-TP,17,1727,-443,5,2,246.7,345.4,863.5,5.578483759069841,0,9,7,4,-21.0,1499.0,299.8,374.8,2023-09-09,4.0,3.0,3.0,2.0
2023-09-09,アイムジャグラーEX-TP,18,1733,-124,7,3,173.3,247.6,577.7,6.264576527278815,0,9,10,4,893.0,3509.0,194.9,438.6,2023-09-09,2.0,2.0,2.0,3.0
2023-09-09,マイジャグラーV,1,5731,-819,18,15,173.7,318.4,382.1,5.768337417009992,2,9,33,14,409.0,2603.0,216.9,520.6,2023-09-09,12.0,7.0,11.5,8.0
2023-09-09,マイジャグラーV,2,854,-840,1,1,427.0,854.0,854.0,6.924984396992488,0,9,2,14,2587.0,7188.0,205.4,256.7,2023-09-09,3.0,1.0,2.0,14.0
2023-09-09,マイジャグラーV,3,2506,540,14,4,139.2,179.0,626.5,6.362408110282977,0,9,18,14,2453.0,8430.0,216.2,301.1,2023-09-09,1.0,2.0,1.0,13.0
2023-09-09,マイジャグラーV,5,2635,-120,10,6,164.7,263.5,439.2,5.881784146585556,0,9,16,14,1296.0,5845.0,208.8,487.1,2023-09-09,4.0,4.0,4.0,9.0
2023-09-09,マイジャグラーV,6,5365,731,23,17,134.1,233.3,315.6,5.973312057282781,3,9,40,14,68.0,3708.0,264.9,412.0,2023-09-09,8.0,8.0,8.0,4.0
2023-09-09,マイジャグラーV,7,4931,-1871,10,16,189.7,493.1,308.2,5.896083092909539,0,9,26,14,967.0,5430.0,217.2,387.9,2023-09-09,6.0,5.0,5.0,11.0
2023-09-09,マイジャグラーV,8,1099,-460,3,2,219.8,366.3,549.5,6.223092177917837,0,9,5,14,1950.0,7818.0,211.3,325.8,2023-09-09,2.0,3.0,3.0,12.0
2023-09-09,マイジャグラーV,37,1855,-682,5,3,231.9,371.0,618.3,5.865303966314974,0,9,8,14,-813.0,5776.0,320.9,320.9,2023-09-09,5.0,13.0,6.0,5.0
2023-09-09,マイジャグラーV,38,4054,-499,14,11,162.2,289.6,368.5,6.0479044080223625,0,9,25,14,-217.0,5026.0,295.6,335.1,2023-09-09,7.0,9.0,7.0,7.0
2023-09-09,マイジャグラーV,50,3257,-236,10,12,148.0,325.7,271.4,5.8285139919265285,0,9,22,14,580.0,2401.0,184.7,600.2,2023-09-09,13.0,6.0,11.5,10.0
2023-09-09,マイジャグラーV,51,2617,-271,11,3,186.9,237.9,872.3,6.096863108890969,0,9,14,14,-558.0,2613.0,290.3,435.5,2023-09-09,11.0,12.0,13.0,2.0
2023-09-09,マイジャグラーV,52,6855,336,26,23,139.9,263.7,298.0,5.914879353044215,3,9,49,14,-444.0,3171.0,288.3,352.3,2023-09-09,10.0,10.0,9.5,6.0
2023-09-09,マイジャグラーV,53,2487,-843,7,5,207.2,355.3,497.4,6.030135931647864,0,9,12,14,-460.0,3361.0,336.1,336.1,2023-09-09,9.0,11.0,9.5,3.0
2023-09-09,マイジャグラーV,55,3962,-729,12,11,172.3,330.2,360.2,5.893410786316917,0,9,23,14,-981.0,2024.0,404.8,2024.0,2023-09-09,14.0,14.0,14.0,1.0
2023-09-09,ファンキージャグラー2,23,3837,-728,14,8,174.4,274.1,479.6,6.31199477027298,0,9,22,7,-150.0,1389.0,231.5,694.5,2023-09-09,7.0,5.0,6.5,2.0
2023-09-09,ファンキージャグラー2,25,2375,-109,6,10,148.4,395.8,237.5,5.415168885579619,0,9,16,7,261.0,5415.0,257.9,416.5,2023-09-09,3.0,3.0,3.0,4.0
2023-09-09,ファンキージャグラー2,26,745,-266,2,1,248.3,372.5,745.0,5.708093281353929,0,9,3,7,1417.0,7107.0,229.3,309.0,2023-09-09,1.0,2.0,1.0,7.0
2023-09-09,ファンキージャグラー2,27,3659,346,16,9,146.4,228.7,406.6,5.957751134566715,0,9,25,7,-302.0,4478.0,279.9,344.5,2023-09-09,4.0,7.0,4.0,5.0
2023-09-09,ファンキージャグラー2,28,4006,139,17,11,143.1,235.6,364.2,6.218116582002519,0,9,28,7,-142.0,1880.0,313.3,376.0,2023-09-09,5.0,4.0,5.0,3.0
2023-09-09,ファンキージャグラー2,30,1057,-263,4,1,211.4,264.2,1057.0,6.228703465467636,0,9,5,7,-250.0,1414.0,235.7,707.0,2023-09-09,6.0,6.0,6.5,1.0
2023-09-09,ファンキージャグラー2,31,1410,-91,5,5,141.0,282.0,282.0,6.259826067846971,0,9,10,7,1966.0,5964.0,180.7,497.0,2023-09-09,2.0,1.0,2.0,6.0
2023-09-09,ハッピージャグラーVIII,20,752,-14,3,2,150.4,250.7,376.0,6.395335487223361,0,9,5,3,1286.0,5872.0,225.8,255.3,2023-09-09,1.0,1.0,1.0,3.0
2023-09-09,ハッピージャグラーVIII,21,8031,3875,43,35,103.0,186.8,229.5,6.337538870914106,6,9,78,3,-699.0,719.0,0.0,719.0,2023-09-09,3.0,3.0,3.0,1.0
2023-09-09,ハッピージャグラーVIII,22,1300,219,6,4,130.0,216.7,325.0,6.410295921449219,0,9,10,3,85.0,1705.0,213.1,852.5,2023-09-09,2.0,2.0,2.0,2.0
2023-09-08,アイムジャグラーEX-TP,15,5963,1559,26,24,119.3,229.3,248.5,6.102696708295661,5,8,50,4,79.0,519.0,173.0,0.0,2023-09-08,3.0,2.0,3.0,2.0
2023-09-08,アイムジャグラーEX-TP,16,1625,-478,6,1,232.1,270.8,1625.0,6.410983494183266,0,8,7,4,-276.0,576.0,576.0,288.0,2023-09-08,2.0,4.0,3.0,1.0
2023-09-08,アイムジャグラーEX-TP,17,1499,-21,5,4,166.6,299.8,374.8,5.62555263361241,0,8,9,4,-126.0,436.0,218.0,436.0,2023-09-08,4.0,3.0,3.0,3.0
2023-09-08,アイムジャグラーEX-TP,18,3509,893,18,8,135.0,194.9,438.6,6.265547136537824,0,8,26,4,122.0,847.0,211.8,423.5,2023-09-08,1.0,1.0,1.0,4.0
2023-09-08,マイジャグラーV,1,2603,409,12,5,153.1,216.9,520.6,5.7072075522251895,0,8,17,14,-563.0,2955.0,328.3,422.1,2023-09-08,6.0,9.0,5.5,8.0
2023-09-08,マイジャグラーV,2,7188,2587,35,28,114.1,205.4,256.7,5.906509252169164,5,8,63,14,-383.0,3009.0,376.1,273.5,2023-09-08,5.0,6.0,4.0,12.0
2023-09-08,マイジャグラーV,3,8430,2453,39,28,125.8,216.2,301.1,5.721257727568519,3,8,67,14,-312.0,741.0,741.0,370.5,2023-09-08,14.0,4.0,14.0,5.0
2023-09-08,マイジャグラーV,5,5845,1296,28,12,146.1,208.8,487.1,5.671351820618247,1,8,40,14,1391.0,6825.0,220.2,310.2,2023-09-08,1.0,2.0,1.0,13.0
2023-09-08,マイジャグラーV,6,3708,68,14,9,161.2,264.9,412.0,5.656259543174211,0,8,23,14,2291.0,3287.0,164.3,328.7,2023-09-08,4.0,1.0,2.0,14.0
2023-09-08,マイジャグラーV,7,5430,967,25,14,139.2,217.2,387.9,5.875806312052467,1,8,39,14,-999.0,1829.0,609.7,1829.0,2023-09-08,11.0,11.0,12.0,1.0
2023-09-08,マイジャグラーV,8,7818,1950,37,24,128.2,211.3,325.8,5.902920325429175,3,8,61,14,-464.0,923.0,461.5,461.5,2023-09-08,13.0,7.0,12.0,6.0
2023-09-08,マイジャグラーV,37,5776,-813,18,18,160.4,320.9,320.9,5.937544800142715,1,8,36,14,-1542.0,3599.0,399.9,719.8,2023-09-08,3.0,14.0,8.0,4.0
