日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日のG数,前日の差枚,前日のBB回数,前日のRB回数,前日の合成回数,前日の合成確率,前日のBB確率,前日のRB確率,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,2日前のG数,2日前の差枚,2日前のBB回数,2日前のRB回数,2日前の合成回数,2日前の合成確率,2日前のBB確率,2日前のRB確率,3日前のG数,3日前の差枚,3日前のBB回数,3日前のRB回数,3日前の合成回数,3日前の合成確率,3日前のBB確率,3日前のRB確率,4日前のG数,4日前の差枚,4日前のBB回数,4日前のRB回数,4日前の合成回数,4日前の合成確率,4日前のBB確率,4日前のRB確率,5日前のG数,5日前の差枚,5日前のBB回数,5日前のRB回数,5日前の合成回数,5日前の合成確率,5日前のBB確率,5日前のRB確率,6日前のG数,6日前の差枚,6日前のBB回数,6日前のRB回数,6日前の合成回数,6日前の合成確率,6日前のBB確率,6日前のRB確率,G数過去2日間合計,差枚過去2日間合計,合成回数過去2日間合計,合成確率過去2日間平均,G数過去3日間合計,差枚過去3日間合計,合成回数過去3日間合計,合成確率過去3日間平均,G数過去4日間合計,差枚過去4日間合計,合成回数過去4日間合計,合成確率過去4日間平均,G数過去5日間合計,差枚過去5日間合計,合成回数過去5日間合計,合成確率過去5日間平均,G数過去6日間合計,差枚過去6日間合計,合成回数過去6日間合計,合成確率過去6日間平均,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング,過去6日間合計G数ランキング,過去6日間合計差枚ランキング,過去6日間合計合成回数ランキング,過去6日間平均合成確率ランキング
2023-10-01,アイムジャグラーEX-TP,1082,1402,-637,4,2,233.7,350.5,701.0,6.550618855933015,0,1,6,18,1151.0,-470.0,3.0,2.0,5.0,230.2,383.7,575.5,11.0,10.5,11.0,8.0,1439.0,238.0,6.0,2.0,8.0,179.9,239.8,719.5,7599.0,5030.0,41.0,30.0,71.0,107.0,185.3,253.3,759.0,-303.0,3.0,0.0,3.0,253.0,253.0,0.0,6013.0,3947.0,35.0,22.0,57.0,105.5,171.8,273.3,5984.0,2905.0,30.0,22.0,52.0,115.1,199.5,272.0,2590.0,-232.0,13.0,205.05,4029.0,6.0,21.0,196.66666666666666,11628.0,5036.0,92.0,174.25,12387.0,4733.0,95.0,190.0,18400.0,8680.0,152.0,175.91666666666666,15.0,9.0,13.0,8.0,15.0,8.0,12.0,8.0,8.0,1.0,6.0,13.0
2023-10-01,アイムジャグラーEX-TP,1083,5572,738,22,18,139.3,253.3,309.6,5.877792879912598,4,1,40,18,3634.0,613.0,15.0,10.0,25.0,145.4,242.3,363.4,5.0,6.0,4.5,14.0,1699.0,-345.0,6.0,3.0,9.0,188.8,283.2,566.3,1272.0,-595.0,4.0,2.0,6.0,212.0,318.0,636.0,547.0,-470.0,1.0,0.0,1.0,547.0,547.0,0.0,1316.0,280.0,6.0,3.0,9.0,146.2,219.3,438.7,7463.0,4030.0,37.0,29.0,66.0,113.1,201.7,257.3,5333.0,268.0,34.0,167.10000000000002,7032.0,-77.0,43.0,174.33333333333334,8304.0,-672.0,49.0,183.75,8851.0,-1142.0,50.0,256.4,10167.0,-862.0,59.0,238.03333333333333,10.0,7.0,9.0,11.0,11.0,9.0,11.0,10.0,15.0,9.0,14.5,7.0
2023-10-01,アイムジャグラーEX-TP,1085,868,-637,2,0,434.0,434.0,0.0,6.581480472186345,0,1,2,18,5752.0,822.0,22.0,22.0,44.0,130.7,261.5,261.5,2.0,4.0,2.0,15.0,4733.0,1072.0,22.0,14.0,36.0,131.5,215.1,338.1,7235.0,3197.0,35.0,29.0,64.0,113.0,206.7,249.5,1637.0,-220.0,6.0,4.0,10.0,163.7,272.8,409.2,1195.0,-720.0,2.0,1.0,3.0,398.3,597.5,1195.0,1244.0,613.0,6.0,6.0,12.0,103.7,207.3,207.3,10485.0,1894.0,80.0,131.1,15218.0,2966.0,116.0,131.23333333333332,22453.0,6163.0,180.0,126.675,24090.0,5943.0,190.0,134.08,25285.0,5223.0,193.0,178.11666666666667,1.0,2.0,1.0,16.0,2.0,1.0,2.0,16.0,3.0,2.0,1.0,12.0
2023-10-01,アイムジャグラーEX-TP,1086,1064,-595,1,4,212.8,1064.0,266.0,5.818649219177195,0,1,5,18,980.0,-720.0,2.0,2.0,4.0,245.0,490.0,490.0,14.0,15.0,13.0,7.0,3330.0,-137.0,12.0,10.0,22.0,151.4,277.5,333.0,2994.0,-1262.0,7.0,8.0,15.0,199.6,427.7,374.2,1689.0,-595.0,5.0,4.0,9.0,187.7,337.8,422.2,2373.0,1072.0,13.0,2.0,15.0,158.2,182.5,1186.5,6472.0,2030.0,29.0,20.0,49.0,132.1,223.2,323.6,4310.0,-857.0,26.0,198.2,7640.0,-994.0,48.0,182.6,10634.0,-2256.0,63.0,186.85,12323.0,-2851.0,72.0,187.01999999999998,14696.0,-1779.0,87.0,182.21666666666667,11.0,12.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,9.0
2023-10-01,アイムジャグラーEX-TP,1087,5823,655,24,16,145.6,242.6,363.9,5.954438757487889,2,1,40,18,3448.0,405.0,15.0,6.0,21.0,164.2,229.9,574.7,6.0,7.0,6.0,12.0,4291.0,-387.0,14.0,16.0,30.0,143.0,306.5,268.2,5568.0,-762.0,19.0,12.0,31.0,179.6,293.1,464.0,1286.0,-303.0,3.0,5.0,8.0,160.8,428.7,257.2,2139.0,-1137.0,5.0,1.0,6.0,356.5,427.8,2139.0,496.0,-303.0,1.0,1.0,2.0,248.0,496.0,496.0,7739.0,18.0,51.0,153.6,12030.0,-369.0,81.0,150.06666666666666,17598.0,-1131.0,112.0,157.45,18884.0,-1434.0,120.0,158.12000000000003,21023.0,-2571.0,126.0,191.18333333333337,6.0,8.0,6.0,13.0,6.0,10.0,6.0,14.0,6.0,14.0,8.0,8.0
2023-10-01,アイムジャグラーEX-TP,1100,2672,197,12,6,148.4,222.7,445.3,6.350241786881988,0,1,18,18,6168.0,1780.0,31.0,17.0,48.0,128.5,199.0,362.8,1.0,2.0,1.0,16.0,966.0,-845.0,1.0,1.0,2.0,483.0,966.0,966.0,3747.0,-928.0,13.0,3.0,16.0,234.2,288.2,1249.0,2571.0,-178.0,8.0,9.0,17.0,151.2,321.4,285.7,428.0,-387.0,1.0,0.0,1.0,428.0,428.0,0.0,5574.0,2655.0,24.0,29.0,53.0,105.2,232.2,192.2,7134.0,935.0,50.0,305.75,8100.0,90.0,52.0,364.8333333333333,11847.0,-838.0,68.0,332.175,14418.0,-1016.0,85.0,295.98,14846.0,-1403.0,86.0,317.98333333333335,7.0,5.0,7.0,5.0,9.0,7.0,9.0,2.0,9.0,10.0,11.0,1.0
2023-10-01,アイムジャグラーEX-TP,1101,534,-595,1,0,534.0,534.0,0.0,8.47832889914615,0,1,1,18,1863.0,1113.0,11.0,4.0,15.0,124.2,169.4,465.8,9.0,3.0,9.0,17.0,6026.0,613.0,27.0,13.0,40.0,150.7,223.2,463.5,1961.0,-220.0,7.0,4.0,11.0,178.3,280.1,490.2,1139.0,-220.0,4.0,2.0,6.0,189.8,284.8,569.5,5085.0,1905.0,26.0,15.0,41.0,124.0,195.6,339.0,3086.0,-95.0,8.0,16.0,24.0,128.6,385.8,192.9,7889.0,1726.0,55.0,137.45,13915.0,2339.0,95.0,141.86666666666665,15876.0,2119.0,106.0,150.975,17015.0,1899.0,112.0,158.74,22100.0,3804.0,153.0,152.95000000000002,5.0,3.0,5.0,15.0,5.0,2.5,3.5,15.0,5.0,3.0,5.0,17.0
2023-10-01,アイムジャグラーEX-TP,1102,5155,2947,31,12,119.9,166.3,429.6,5.850691377505277,1,1,43,18,757.0,-345.0,2.0,1.0,3.0,252.3,378.5,757.0,16.0,9.0,15.5,5.0,491.0,-470.0,1.0,0.0,1.0,491.0,491.0,0.0,8072.0,-303.0,30.0,21.0,51.0,158.3,269.1,384.4,882.0,-803.0,1.0,2.0,3.0,294.0,882.0,441.0,271.0,-428.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0,-470.0,1.0,1.0,2.0,311.5,623.0,623.0,1248.0,-815.0,4.0,371.65,1739.0,-1285.0,5.0,411.43333333333334,9811.0,-1588.0,56.0,348.15,10693.0,-2391.0,59.0,337.32,10964.0,-2819.0,59.0,281.09999999999997,17.0,11.0,17.5,3.0,17.0,12.0,17.0,1.0,13.0,16.0,14.5,3.0
2023-10-01,マイジャグラーV,1056,3991,-428,15,7,181.4,266.1,570.1,5.895294020431229,0,1,22,10,5108.0,-1095.0,16.0,12.0,28.0,182.4,319.2,425.7,3.0,10.0,4.0,5.0,6189.0,-303.0,23.0,15.0,38.0,162.9,269.1,412.6,2612.0,-803.0,8.0,5.0,13.0,200.9,326.5,522.4,2021.0,-387.0,7.0,3.0,10.0,202.1,288.7,673.7,1808.0,-1178.0,2.0,6.0,8.0,226.0,904.0,301.3,2330.0,-1387.0,3.0,6.0,9.0,258.9,776.7,388.3,11297.0,-1398.0,66.0,172.65,17486.0,-1701.0,104.0,169.4,20098.0,-2504.0,117.0,177.275,22119.0,-2891.0,127.0,182.24,23927.0,-4069.0,135.0,189.53333333333333,2.0,8.0,3.0,5.0,2.0,8.0,3.0,4.0,2.0,9.0,4.0,6.0
2023-10-01,マイジャグラーV,1057,4943,-1053,14,16,164.8,353.1,308.9,6.007982677015693,1,1,30,10,664.0,-553.0,1.0,1.0,2.0,332.0,664.0,664.0,10.0,7.0,10.0,1.0,674.0,-887.0,0.0,0.0,0.0,0.0,0.0,0.0,7812.0,2405.0,41.0,19.0,60.0,130.2,190.5,411.2,1684.0,0.0,7.0,5.0,12.0,140.3,240.6,336.8,756.0,197.0,4.0,1.0,5.0,151.2,189.0,756.0,4485.0,-1803.0,10.0,10.0,20.0,224.2,448.5,448.5,1338.0,-1440.0,2.0,166.0,2012.0,-2327.0,2.0,110.66666666666667,9824.0,78.0,62.0,115.55,11508.0,78.0,74.0,120.5,12264.0,275.0,79.0,125.61666666666667,10.0,9.0,10.0,6.0,10.0,9.0,10.0,10.0,9.0,4.0,8.0,9.0
2023-10-01,マイジャグラーV,1058,2840,363,12,7,149.5,236.7,405.7,5.663074203819623,0,1,19,10,1210.0,-845.0,3.0,1.0,4.0,302.5,403.3,1210.0,8.0,9.0,8.5,2.0,4998.0,947.0,21.0,15.0,36.0,138.8,238.0,333.2,1818.0,-845.0,3.0,5.0,8.0,227.2,606.0,363.6,1574.0,-1262.0,1.0,5.0,6.0,262.3,1574.0,314.8,2866.0,822.0,14.0,8.0,22.0,130.3,204.7,358.2,1369.0,447.0,7.0,4.0,11.0,124.5,195.6,342.2,6208.0,102.0,40.0,220.65,11206.0,1049.0,76.0,193.36666666666667,13024.0,204.0,84.0,201.825,14598.0,-1058.0,90.0,213.92,17464.0,-236.0,112.0,199.98333333333335,6.0,6.0,6.0,1.0,5.0,3.0,5.0,3.0,7.0,6.0,7.0,5.0
2023-10-01,マイジャグラーV,1060,5760,530,24,16,144.0,240.0,360.0,5.877661376499315,2,1,40,10,3546.0,613.0,17.0,6.0,23.0,154.2,208.6,591.0,5.0,4.0,5.0,6.0,4676.0,-262.0,20.0,7.0,27.0,173.2,233.8,668.0,5162.0,-803.0,18.0,12.0,30.0,172.1,286.8,430.2,456.0,-470.0,0.0,1.0,1.0,456.0,0.0,456.0,2605.0,-1470.0,5.0,7.0,12.0,217.1,521.0,372.1,6790.0,2947.0,37.0,21.0,58.0,117.1,183.5,323.3,8222.0,351.0,50.0,163.7,12898.0,89.0,77.0,166.86666666666665,18060.0,-714.0,107.0,168.175,18516.0,-1184.0,108.0,225.74,21121.0,-2654.0,120.0,224.29999999999998,5.0,5.0,5.0,7.0,4.0,5.0,4.0,5.0,5.0,7.0,6.0,3.0
2023-10-01,マイジャグラーV,1061,3473,613,17,4,165.4,204.3,868.2,5.609211700054091,0,1,21,10,4598.0,1113.0,26.0,4.0,30.0,153.3,176.8,1149.5,4.0,2.0,3.0,7.0,5483.0,-345.0,17.0,21.0,38.0,144.3,322.5,261.1,3599.0,613.0,14.0,13.0,27.0,133.3,257.1,276.8,135.0,-262.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,-345.0,0.0,0.0,0.0,0.0,0.0,0.0,8640.0,1238.0,31.0,34.0,65.0,132.9,278.7,254.1,10081.0,768.0,68.0,148.8,15564.0,423.0,106.0,147.3,19163.0,1036.0,133.0,143.8,19298.0,774.0,133.0,115.04,19603.0,429.0,133.0,95.86666666666667,3.0,2.0,2.0,10.0,3.0,4.0,2.0,9.0,6.0,3.0,5.0,10.0
2023-10-01,マイジャグラーV,1062,4596,-83,17,12,158.5,270.4,383.0,5.802054246594008,2,1,29,10,2818.0,697.0,14.0,5.0,19.0,148.3,201.3,563.6,6.0,3.0,6.0,8.0,2987.0,238.0,13.0,5.0,18.0,165.9,229.8,597.4,6539.0,238.0,27.0,18.0,45.0,145.3,242.2,363.3,4633.0,-428.0,15.0,13.0,28.0,165.5,308.9,356.4,3840.0,-970.0,11.0,13.0,24.0,160.0,349.1,295.4,5035.0,-803.0,16.0,15.0,31.0,162.4,314.7,335.7,5805.0,935.0,37.0,157.10000000000002,8792.0,1173.0,55.0,160.03333333333333,15331.0,1411.0,100.0,156.35000000000002,19964.0,983.0,128.0,158.18,23804.0,13.0,152.0,158.48333333333335,8.0,1.0,8.0,9.0,8.0,2.0,8.0,8.0,3.0,5.0,3.0,7.0
