日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日のG数,前日の差枚,前日のBB回数,前日のRB回数,前日の合成回数,前日の合成確率,前日のBB確率,前日のRB確率,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,2日前のG数,2日前の差枚,2日前のBB回数,2日前のRB回数,2日前の合成回数,2日前の合成確率,2日前のBB確率,2日前のRB確率,3日前のG数,3日前の差枚,3日前のBB回数,3日前のRB回数,3日前の合成回数,3日前の合成確率,3日前のBB確率,3日前のRB確率,G数過去2日間合計,差枚過去2日間合計,合成回数過去2日間合計,合成確率過去2日間平均,G数過去3日間合計,差枚過去3日間合計,合成回数過去3日間合計,合成確率過去3日間平均,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング
2023-09-16,アイムジャグラーEX-TP,216,4383,-601,13,14,162.3,337.2,313.1,5.962376465864809,4,6,27,21,,,,,,,,,,,,,2303.0,-601.0,7.0,6.0,13.0,177.2,329.0,383.8,3274.0,-83.0,11.0,11.0,22.0,148.8,297.6,297.6,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,217,4413,-489,15,13,157.6,294.2,339.5,6.235829490801919,2,6,28,21,,,,,,,,,,,,,1442.0,-993.0,2.0,2.0,4.0,360.5,721.0,721.0,2203.0,-875.0,5.0,4.0,9.0,244.8,440.6,550.8,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,218,5925,-1161,17,17,174.3,348.5,348.5,5.978209049646377,2,6,34,21,,,,,,,,,,,,,3366.0,-1189.0,8.0,12.0,20.0,168.3,420.8,280.5,2810.0,-1347.0,7.0,7.0,14.0,200.7,401.4,401.4,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,220,5452,-461,19,16,155.8,286.9,340.8,6.208108292728886,2,6,35,21,,,,,,,,,,,,,4037.0,1245.0,19.0,12.0,31.0,130.2,212.5,336.4,4905.0,-347.0,16.0,15.0,31.0,158.2,306.6,327.0,,,,,,,,,,,,,,,,
2023-09-16,ファンキージャグラー2,205,7129,434,30,19,145.5,237.6,375.2,6.019937634028768,1,6,49,5,,,,,,,,,,,,,3495.0,-84.0,12.0,11.0,23.0,152.0,291.2,317.7,6416.0,598.0,27.0,20.0,47.0,136.5,237.6,320.8,,,,,,,,,,,,,,,,
2023-09-16,ファンキージャグラー2,206,4009,-1161,14,3,235.8,286.4,1336.3,6.004521401619899,1,6,17,5,,,,,,,,,,,,,3942.0,-98.0,14.0,13.0,27.0,146.0,281.6,303.2,4262.0,-458.0,14.0,12.0,26.0,163.9,304.4,355.2,,,,,,,,,,,,,,,,
2023-09-16,ファンキージャグラー2,207,5931,-70,22,17,152.1,269.6,348.9,5.897846949007154,3,6,39,5,,,,,,,,,,,,,1206.0,-489.0,2.0,1.0,3.0,402.0,603.0,1206.0,6486.0,1833.0,29.0,25.0,54.0,120.1,223.7,259.4,,,,,,,,,,,,,,,,
2023-09-16,ファンキージャグラー2,208,5341,518,25,13,140.6,213.6,410.8,6.279570788808766,1,6,38,5,,,,,,,,,,,,,852.0,-434.0,2.0,1.0,3.0,284.0,426.0,852.0,7396.0,2628.0,36.0,24.0,60.0,123.3,205.4,308.2,,,,,,,,,,,,,,,,
2023-09-16,ファンキージャグラー2,210,4005,1133,19,10,138.1,210.8,400.5,5.560382517525661,2,6,29,5,,,,,,,,,,,,,6269.0,1329.0,26.0,24.0,50.0,125.4,241.1,261.2,4897.0,236.0,16.0,18.0,34.0,144.0,306.1,272.1,,,,,,,,,,,,,,,,
2023-09-16,ハッピージャグラーVIII,127,3178,-1273,8,5,244.5,397.2,635.6,6.034234406746988,0,6,13,6,,,,,,,,,,,,,2429.0,-434.0,7.0,5.0,12.0,202.4,347.0,485.8,3132.0,-1597.0,7.0,6.0,13.0,240.9,447.4,522.0,,,,,,,,,,,,,,,,
2023-09-16,ハッピージャグラーVIII,128,2366,-1580,4,4,295.8,591.5,591.5,6.423261000835552,0,6,8,6,,,,,,,,,,,,,4276.0,154.0,15.0,16.0,31.0,137.9,285.1,267.2,3171.0,-652.0,10.0,6.0,16.0,198.2,317.1,528.5,,,,,,,,,,,,,,,,
2023-09-16,ハッピージャグラーVIII,130,3388,-1077,10,5,225.9,338.8,677.6,6.0897513959649645,0,6,15,6,,,,,,,,,,,,,3494.0,98.0,15.0,10.0,25.0,139.8,232.9,349.4,3650.0,-347.0,14.0,5.0,19.0,192.1,260.7,730.0,,,,,,,,,,,,,,,,
2023-09-16,ハッピージャグラーVIII,131,5480,-1748,13,19,171.2,421.5,288.4,6.344755243540767,1,6,32,6,,,,,,,,,,,,,278.0,-210.0,0.0,1.0,1.0,278.0,0.0,278.0,2286.0,-458.0,8.0,3.0,11.0,207.8,285.8,762.0,,,,,,,,,,,,,,,,
2023-09-16,ハッピージャグラーVIII,132,5428,657,22,16,142.8,246.7,339.2,5.935915190338325,2,6,38,6,,,,,,,,,,,,,926.0,-126.0,4.0,0.0,4.0,231.5,231.5,0.0,3900.0,-930.0,12.0,8.0,20.0,195.0,325.0,487.5,,,,,,,,,,,,,,,,
2023-09-16,ハッピージャグラーVIII,203,3646,-545,12,11,158.5,303.8,331.5,6.383788329267082,0,6,23,6,,,,,,,,,,,,,836.0,-210.0,3.0,1.0,4.0,209.0,278.7,836.0,2501.0,-597.0,7.0,8.0,15.0,166.7,357.3,312.6,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,111,4356,-350,16,13,150.2,272.2,335.1,6.447230051066176,2,4,29,21,4970.0,-375.0,18.0,14.0,32.0,155.3,276.1,355.0,7.0,13.5,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,112,1354,-210,5,2,193.4,270.8,677.0,6.131568516361031,0,4,7,21,4931.0,1598.0,23.0,15.0,38.0,129.8,214.4,328.7,8.0,3.0,6.5,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,113,2094,434,8,10,116.3,261.8,209.4,6.056832526498064,0,4,18,21,5795.0,1625.0,26.0,21.0,47.0,123.3,222.9,276.0,4.0,2.0,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,115,3704,1301,18,13,119.5,205.8,284.9,6.041001076730157,0,4,31,21,6013.0,-264.0,21.0,18.0,39.0,154.2,286.3,334.1,3.0,9.0,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,116,3728,-406,11,13,155.3,338.9,286.8,5.94390484446102,0,4,24,21,879.0,-486.0,2.0,1.0,3.0,293.0,439.5,879.0,21.0,15.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,アイムジャグラーEX-TP,117,4244,1692,21,14,121.3,202.1,303.1,5.841264517603422,4,4,35,21,3124.0,-680.0,10.0,7.0,17.0,183.8,312.4,446.3,14.0,18.0,14.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
