日付,ランキング,機種名,機種別差枚,平均差枚,平均G数,勝率,日付末尾,出現回数
2023/9/29,10,新ハナビ,1244,311,2310,25.0%(1/4),9,12
2023/7/29,6,新ハナビ,3069,767,3593,75.0%(3/4),9,12
2023/7/19,10,新ハナビ,1231,308,2557,75.0%(3/4),9,12
2023/5/19,7,新ハナビ,3752,938,2733,75.0%(3/4),9,12
2023/3/29,9,新ハナビ,560,140,3328,25.0%(1/4),9,12
2023/2/19,10,新ハナビ,1250,312,4601,50.0%(2/4),9,12
2023/1/19,10,新ハナビ,1520,380,2792,50.0%(2/4),9,12
2022/12/9,9,新ハナビ,907,227,2455,50.0%(2/4),9,12
2022/11/29,7,新ハナビ,639,160,936,50.0%(2/4),9,12
2022/11/19,4,新ハナビ,2213,553,5054,25.0%(1/4),9,12
2022/10/19,1,新ハナビ,2960,740,3448,75.0%(3/4),9,12
2022/9/19,6,新ハナビ,1540,385,5455,50.0%(2/4),9,12
2023/10/9,7,ハッピージャグラーVIII,1549,387,6504,75.0%(3/4),9,11
2023/9/29,1,ハッピージャグラーVIII,9338,2334,7482,75.0%(3/4),9,11
2023/9/29,8,甲鉄城のカバネリ,2076,208,2184,50.0%(5/10),9,11
2023/9/9,10,沖ドキ!DUO,3702,1851,3908,50.0%(1/2),9,11
2023/8/19,2,甲鉄城のカバネリ,9397,940,4134,70.0%(7/10),9,11
2023/8/9,6,ハッピージャグラーVIII,3581,895,4524,75.0%(3/4),9,11
2023/8/9,8,甲鉄城のカバネリ,2049,205,2417,50.0%(5/10),9,11
2023/7/29,1,甲鉄城のカバネリ,17904,1790,4717,70.0%(7/10),9,11
2023/7/19,2,甲鉄城のカバネリ,7853,785,4563,50.0%(5/10),9,11
2023/7/9,5,甲鉄城のカバネリ,4370,437,4525,70.0%(7/10),9,11
2023/7/9,6,ハッピージャグラーVIII,3846,962,5950,100.0%(4/4),9,11
2023/7/9,9,沖ドキ!DUO,1105,276,1385,50.0%(2/4),9,11
2023/6/29,7,ハッピージャグラーVIII,2296,574,4761,75.0%(3/4),9,11
2023/6/29,9,沖ドキ!DUO,1455,364,390,75.0%(3/4),9,11
2023/6/9,1,甲鉄城のカバネリ,11929,1325,5001,66.7%(6/9),9,11
2023/6/9,7,ハッピージャグラーVIII,2742,686,6692,75.0%(3/4),9,11
2023/5/19,6,甲鉄城のカバネリ,3938,656,3878,66.7%(4/6),9,11
2023/5/9,2,甲鉄城のカバネリ,13353,2226,5271,100.0%(6/6),9,11
2023/4/29,6,ハッピージャグラーVIII,5325,1331,6254,100.0%(4/4),9,11
2023/4/19,7,甲鉄城のカバネリ,2890,482,4346,50.0%(3/6),9,11
2023/4/19,9,ハッピージャグラーVIII,1147,287,4603,50.0%(2/4),9,11
2023/4/9,6,沖ドキ!DUO,1162,290,2649,25.0%(1/4),9,11
2023/3/29,8,沖ドキ!DUO,1173,293,586,75.0%(3/4),9,11
2023/3/9,3,沖ドキ!DUO,3555,889,1670,75.0%(3/4),9,11
2023/3/9,10,ハッピージャグラーVIII,187,47,3086,50.0%(2/4),9,11
2023/2/9,4,ハッピージャグラーVIII,3390,848,4193,75.0%(3/4),9,11
2023/1/29,6,沖ドキ!DUO,3307,827,1341,100.0%(4/4),9,11
2023/1/19,8,沖ドキ!DUO,2187,547,993,75.0%(3/4),9,11
2022/12/29,1,甲鉄城のカバネリ,5885,2942,4434,100.0%(2/2),9,11
2022/12/29,4,ハッピージャグラーVIII,2133,1066,6756,100.0%(2/2),9,11
2022/10/19,9,沖ドキ!DUO,350,44,644,62.5%(5/8),9,11
2022/9/29,5,沖ドキ!DUO,3250,406,871,62.5%(5/8),9,11
2022/9/19,7,沖ドキ!DUO,1450,181,2610,62.5%(5/8),9,11
2023/5/29,10,犬夜叉,1089,363,1496,33.3%(1/3),9,10
2023/5/9,1,犬夜叉,14644,4881,5435,100.0%(3/3),9,10
2023/4/19,3,犬夜叉,7299,2433,4711,100.0%(3/3),9,10
2023/4/9,4,犬夜叉,2703,901,2688,66.7%(2/3),9,10
2023/3/29,7,犬夜叉,1212,404,2204,66.7%(2/3),9,10
2023/3/9,2,犬夜叉,7273,2424,1985,33.3%(1/3),9,10
2023/2/19,2,犬夜叉,6834,2278,3231,100.0%(3/3),9,10
2023/2/9,3,犬夜叉,4808,1603,1719,66.7%(2/3),9,10
2023/1/19,3,犬夜叉,3786,1262,1236,66.7%(2/3),9,10
2022/11/9,6,犬夜叉,1810,603,2560,66.7%(2/3),9,10
2023/10/9,8,沖ドキ!GOLD,1328,332,2945,75.0%(3/4),9,9
2023/9/29,3,沖ドキ!GOLD,6327,1582,2083,100.0%(4/4),9,9
2023/8/19,1,革命機ヴァルヴレイヴ,9653,965,1520,40.0%(4/10),9,9
2023/8/19,5,沖ドキ!GOLD,6077,1519,2029,100.0%(4/4),9,9
2023/8/9,1,革命機ヴァルヴレイヴ,10182,1018,574,30.0%(3/10),9,9
2023/7/29,2,革命機ヴァルヴレイヴ,10920,1092,2703,60.0%(6/10),9,9
2023/7/9,1,革命機ヴァルヴレイヴ,19124,1912,3088,70.0%(7/10),9,9
2023/7/9,3,沖ドキ!GOLD,8685,2171,1944,75.0%(3/4),9,9
2023/5/29,6,革命機ヴァルヴレイヴ,1932,193,2148,30.0%(3/10),9,9
2023/5/19,1,革命機ヴァルヴレイヴ,8194,819,2131,50.0%(5/10),9,9
2023/5/9,6,沖ドキ!GOLD,3489,1163,2127,66.7%(2/3),9,9
2023/4/29,9,沖ドキ!GOLD,2173,724,3966,66.7%(2/3),9,9
2023/3/29,2,革命機ヴァルヴレイヴ,4542,454,2762,40.0%(4/10),9,9
2023/3/19,4,革命機ヴァルヴレイヴ,6575,658,2358,40.0%(4/10),9,9
2023/3/9,5,沖ドキ!GOLD,1440,480,2954,66.7%(2/3),9,9
2023/2/19,9,沖ドキ!GOLD,1346,449,3484,66.7%(2/3),9,9
2023/1/19,6,沖ドキ!GOLD,2463,616,2981,25.0%(1/4),9,9
2022/12/9,2,革命機ヴァルヴレイヴ,10535,2107,6117,60.0%(3/5),9,9
2023/9/29,5,バイオハザード RE:2,4131,1377,947,33.3%(1/3),9,8
2023/9/29,6,機動戦士ガンダムユニコーン,3745,1248,1538,66.7%(2/3),9,8
2023/9/29,9,押忍!番長ZERO,1276,319,1234,50.0%(2/4),9,8
2023/9/9,5,ガメラ,6038,3019,5191,100.0%(2/2),9,8
2023/9/9,8,花火絶景,4263,2132,4892,100.0%(2/2),9,8
2023/8/19,4,新鬼武者2,6176,2059,3809,100.0%(3/3),9,8
2023/7/29,5,新鬼武者2,5837,1946,2851,66.7%(2/3),9,8
2023/7/29,7,機動戦士ガンダムユニコーン,2668,889,2945,33.3%(1/3),9,8
2023/7/19,3,新鬼武者2,5934,1978,2911,66.7%(2/3),9,8
2023/7/19,8,機動戦士ガンダムユニコーン,1477,492,1755,66.7%(2/3),9,8
2023/6/29,6,バジリスク絆2,2433,608,481,75.0%(3/4),9,8
2023/6/9,5,押忍!番長ZERO,3062,383,775,50.0%(4/8),9,8
2023/6/9,8,新鬼武者2,2552,851,1757,66.7%(2/3),9,8
2023/5/29,3,押忍!番長ZERO,4978,622,2140,50.0%(4/8),9,8
2023/5/29,4,バイオハザード RE:2,4075,1358,5483,100.0%(3/3),9,8
2023/5/29,9,花火絶景,1147,382,834,66.7%(2/3),9,8
2023/5/19,3,機動戦士ガンダムユニコーン,7739,2580,4884,100.0%(3/3),9,8
2023/5/19,8,押忍!番長ZERO,2401,300,794,62.5%(5/8),9,8
2023/5/19,10,花火絶景,1507,502,748,66.7%(2/3),9,8
2023/5/9,5,機動戦士ガンダムユニコーン,4017,1339,4022,66.7%(2/3),9,8
2023/4/29,3,バジリスク絆2,7791,1558,4001,80.0%(4/5),9,8
2023/4/29,4,新鬼武者2,7373,2458,4593,66.7%(2/3),9,8
2023/4/29,7,バイオハザード RE:2,4052,1351,3838,66.7%(2/3),9,8
2023/4/29,8,機動戦士ガンダムユニコーン,3380,1127,4851,66.7%(2/3),9,8
2023/4/19,1,新鬼武者2,10378,3459,4212,100.0%(3/3),9,8
2023/4/19,10,機動戦士ガンダムユニコーン,907,302,2224,33.3%(1/3),9,8
2023/4/9,1,政宗 戦極,9099,4550,2319,100.0%(2/2),9,8
2023/4/9,2,バイオハザード RE:2,6548,2183,3781,100.0%(3/3),9,8
2023/4/9,8,花火絶景,1000,333,2583,33.3%(1/3),9,8
2023/4/9,10,新鬼武者2,713,238,3848,33.3%(1/3),9,8
2023/3/29,3,バイオハザード RE:2,3356,1119,3605,66.7%(2/3),9,8
2023/3/29,4,ガメラ,2186,1093,5212,100.0%(2/2),9,8
2023/3/29,6,花火絶景,1799,600,533,33.3%(1/3),9,8
2023/3/19,7,ガメラ,5018,2509,6104,100.0%(2/2),9,8
2023/3/19,8,花火絶景,4374,1458,3454,100.0%(3/3),9,8
2023/3/19,10,機動戦士ガンダムユニコーン,2729,910,3554,66.7%(2/3),9,8
2023/2/19,3,押忍!番長ZERO,4456,446,2015,40.0%(4/10),9,8
2023/2/19,4,ガメラ,4172,2086,4194,100.0%(2/2),9,8
2023/2/19,6,政宗 戦極,3197,1598,1236,50.0%(1/2),9,8
2023/2/9,9,政宗 戦極,1573,786,366,50.0%(1/2),9,8
2023/1/29,1,新鬼武者2,6861,2287,3414,100.0%(3/3),9,8
2023/1/29,3,押忍!番長ZERO,5570,464,4090,58.3%(7/12),9,8
2023/1/29,7,バジリスク絆2,1280,142,1932,33.3%(3/9),9,8
2023/1/29,8,ガメラ,293,146,2650,50.0%(1/2),9,8
2023/1/19,4,バジリスク絆2,2747,211,791,15.4%(2/13),9,8
2023/1/19,5,押忍!番長ZERO,2579,215,973,41.7%(5/12),9,8
2022/12/29,2,政宗 戦極,2281,1140,381,50.0%(1/2),9,8
2022/12/29,3,花火絶景,2221,740,4074,66.7%(2/3),9,8
2022/12/29,5,バイオハザード RE:2,1920,640,4428,66.7%(2/3),9,8
2022/12/29,9,バジリスク絆2,138,11,1264,38.5%(5/13),9,8
2022/12/9,6,バイオハザード RE:2,2763,921,3378,66.7%(2/3),9,8
2022/12/9,7,政宗 戦極,1387,694,545,50.0%(1/2),9,8
2022/11/29,5,バイオハザード RE:2,2385,795,3691,66.7%(2/3),9,8
2022/11/19,5,ガメラ,2134,1067,5406,100.0%(2/2),9,8
2022/11/9,7,花火絶景,1640,547,3840,33.3%(1/3),9,8
2022/10/29,1,バジリスク絆2,2520,168,1533,33.3%(5/15),9,8
2022/10/19,5,ガメラ,1120,560,2005,50.0%(1/2),9,8
2022/10/9,1,政宗 戦極,4180,1393,267,66.7%(2/3),9,8
2022/10/9,6,バジリスク絆2,1930,129,2191,46.7%(7/15),9,8
2022/10/9,7,ガメラ,1420,710,4775,50.0%(1/2),9,8
2022/9/29,1,政宗 戦極,5660,1887,980,66.7%(2/3),9,8
